,,,,
time,AccelerometerX,AccelerometerY,AccelerometerZ,Modulus
0.043,-0.0264,0.5306,0.8971,1.0426033426
0.088,-0.0205,0.5306,0.9225,1.0644072811
0.149,-0.0205,0.5306,0.9225,1.0644072811
0.216,-0.0205,0.5306,0.9225,1.0644072811
0.278,-0.0156,0.5316,0.9088,1.052976429
0.349,-0.0156,0.5316,0.9088,1.052976429
0.416,-0.0156,0.5316,0.9088,1.052976429
0.478,-0.0166,0.5355,0.9,1.0473947728
0.549,-0.0166,0.5355,0.9,1.0473947728
0.617,-0.0166,0.5355,0.9,1.0473947728
0.678,-0.0117,0.5306,0.9059,1.0499181206
0.749,-0.0117,0.5306,0.9059,1.0499181206
0.816,-0.0117,0.5306,0.9059,1.0499181206
0.878,-0.0127,0.5297,0.903,1.0469729605
0.949,-0.0127,0.5297,0.903,1.0469729605
1.017,-0.0127,0.5297,0.903,1.0469729605
1.078,-0.0127,0.5306,0.8951,1.0406256099
1.149,-0.0127,0.5306,0.8951,1.0406256099
1.217,-0.0127,0.5306,0.8951,1.0406256099
1.278,-0.0078,0.5306,0.9069,1.0507448834
1.349,-0.0078,0.5306,0.9069,1.0507448834
1.418,-0.0078,0.5306,0.9069,1.0507448834
1.478,-0.0098,0.5355,0.8981,1.0456767665
1.549,-0.0098,0.5355,0.8981,1.0456767665
1.618,-0.0098,0.5355,0.8981,1.0456767665
1.678,-0.0156,0.5375,0.9,1.0484033623
1.749,-0.0156,0.5375,0.9,1.0484033623
1.819,-0.0156,0.5375,0.9,1.0484033623
1.878,-0.0147,0.5443,0.8922,1.0452269706
1.949,-0.0147,0.5443,0.8922,1.0452269706
2.019,-0.0147,0.5443,0.8922,1.0452269706
2.078,-0.0127,0.5404,0.8912,1.0423199557
2.149,-0.0127,0.5404,0.8912,1.0423199557
2.219,-0.0127,0.5404,0.8912,1.0423199557
2.278,-0.0176,0.5404,0.8922,1.0432462605
2.349,-0.0176,0.5404,0.8922,1.0432462605
2.42,-0.0176,0.5404,0.8922,1.0432462605
2.478,-0.0127,0.5424,0.8932,1.0450671222
2.549,-0.0127,0.5424,0.8932,1.0450671222
2.62,-0.0127,0.5424,0.8932,1.0450671222
2.678,-0.0186,0.5404,0.9039,1.0532869172
2.749,-0.0186,0.5404,0.9039,1.0532869172
2.82,-0.0186,0.5404,0.9039,1.0532869172
2.878,-0.0137,0.5433,0.8922,1.0446929788
2.949,-0.0137,0.5433,0.8922,1.0446929788
3.02,-0.0137,0.5433,0.8922,1.0446929788
3.078,-0.0205,0.5385,0.8971,1.0465136932
3.149,-0.0205,0.5385,0.8971,1.0465136932
3.221,-0.0205,0.5385,0.8971,1.0465136932
3.278,-0.0137,0.5463,0.8824,1.0379119134
3.349,-0.0137,0.5463,0.8824,1.0379119134
3.421,-0.0137,0.5463,0.8824,1.0379119134
3.478,-0.0117,0.5414,0.8981,1.0487299271
3.554,-0.0117,0.5414,0.8981,1.0487299271
3.621,-0.0117,0.5414,0.8981,1.0487299271
3.679,-0.0244,0.5443,0.8805,1.0354410172
3.75,-0.0244,0.5443,0.8805,1.0354410172
3.821,-0.0244,0.5443,0.8805,1.0354410172
