time,x,y,z
0.007,-0.05,0.29,1.00
0.024,-0.04,0.26,1.05
0.026,-0.04,0.24,1.06
0.060,-0.02,0.22,1.08
0.060,-0.02,0.20,1.06
0.061,-0.04,0.19,1.04
0.074,-0.06,0.20,1.04
0.076,-0.05,0.22,1.04
0.087,-0.05,0.25,1.03
0.096,-0.04,0.26,1.05
0.106,-0.04,0.27,1.04
0.132,-0.04,0.27,1.06
0.136,-0.03,0.27,1.04
0.137,-0.02,0.25,1.02
0.147,-0.02,0.26,1.03
0.157,-0.04,0.26,1.00
0.167,-0.04,0.26,1.01
0.176,-0.04,0.27,1.02
0.187,-0.05,0.28,1.02
0.196,-0.05,0.28,1.03
0.206,-0.06,0.28,1.02
0.236,-0.06,0.29,1.03
0.238,-0.06,0.27,1.04
0.238,-0.07,0.27,1.04
0.249,-0.09,0.26,1.04
0.257,-0.10,0.24,1.01
0.273,-0.09,0.22,1.02
0.276,-0.08,0.22,1.02
0.287,-0.08,0.24,1.01
0.296,-0.08,0.24,1.00
0.307,-0.08,0.26,1.01
0.336,-0.08,0.26,1.00
0.337,-0.06,0.28,1.00
0.338,-0.06,0.27,1.02
0.346,-0.06,0.27,1.03
0.357,-0.06,0.25,1.04
0.373,-0.05,0.24,1.09
0.376,-0.04,0.22,1.05
0.387,-0.06,0.23,1.05
0.396,-0.08,0.25,1.01
0.407,-0.08,0.25,0.99
0.430,-0.10,0.25,0.98
0.431,-0.10,0.26,1.02
0.451,-0.08,0.25,1.02
0.452,-0.07,0.24,1.03
0.456,-0.06,0.27,1.04
0.467,-0.08,0.28,1.02
0.476,-0.07,0.30,1.02
0.487,-0.06,0.29,1.01
0.496,-0.05,0.27,0.99
0.507,-0.04,0.26,0.99
0.536,-0.05,0.24,0.98
0.537,-0.06,0.22,0.98
0.538,-0.07,0.21,1.00
0.546,-0.06,0.22,1.06
0.557,-0.03,0.22,1.08
0.569,-0.03,0.21,1.08
0.576,-0.02,0.23,1.05
0.587,-0.00,0.24,1.05
0.596,-0.00,0.24,1.05
0.606,0.01,0.24,1.06
0.639,0.02,0.22,1.08
0.644,0.03,0.22,1.09
0.644,0.02,0.23,1.08
0.646,0.03,0.24,1.06
0.657,0.02,0.26,1.04
0.667,0.03,0.26,1.02
0.676,0.04,0.24,1.02
0.687,0.04,0.24,1.03
0.696,0.04,0.23,1.02
0.707,0.05,0.24,1.02
0.739,0.05,0.24,1.02
0.740,0.07,0.23,1.02
0.740,0.08,0.24,1.01
0.746,0.09,0.24,1.01
0.757,0.09,0.27,1.00
0.767,0.10,0.29,0.99
0.776,0.11,0.32,0.99
0.787,0.10,0.34,0.99
0.796,0.12,0.35,1.01
0.806,0.14,0.34,1.04
0.843,0.15,0.33,1.06
0.844,0.16,0.31,1.08
0.845,0.16,0.28,1.10
0.847,0.14,0.27,1.12
0.861,0.14,0.24,1.13
0.871,0.14,0.23,1.11
