time,x,y,z
0.007,-0.02,0.14,1.06
0.022,-0.02,0.14,1.05
0.026,-0.02,0.15,1.05
0.037,-0.02,0.16,1.04
0.066,-0.03,0.15,1.06
0.066,-0.01,0.14,1.04
0.067,-0.01,0.14,1.04
0.076,-0.01,0.13,1.02
0.087,-0.02,0.13,1.04
0.096,-0.02,0.12,1.04
0.106,-0.03,0.13,1.02
0.117,-0.02,0.13,1.04
0.126,-0.02,0.14,1.04
0.136,-0.02,0.14,1.05
0.146,-0.02,0.13,1.05
0.157,-0.01,0.14,1.04
0.172,-0.01,0.12,1.05
0.176,-0.02,0.11,1.05
0.187,-0.02,0.11,1.05
0.197,-0.02,0.10,1.05
0.207,-0.01,0.11,1.05
0.217,-0.01,0.12,1.05
0.226,-0.02,0.12,1.06
0.237,-0.02,0.13,1.05
0.247,-0.02,0.12,1.05
0.269,-0.04,0.12,1.06
0.270,-0.03,0.12,1.05
0.276,-0.04,0.13,1.06
0.287,-0.04,0.13,1.05
0.296,-0.04,0.12,1.06
0.306,-0.04,0.13,1.06
0.317,-0.02,0.12,1.03
0.326,-0.01,0.13,1.04
0.336,-0.02,0.13,1.04
0.346,-0.01,0.13,1.03
0.364,-0.01,0.14,1.03
0.365,-0.02,0.13,1.03
0.376,-0.03,0.14,1.04
0.387,-0.02,0.13,1.04
0.397,-0.04,0.13,1.04
0.407,-0.04,0.12,1.03
0.417,-0.04,0.12,1.04
0.426,-0.04,0.12,1.05
0.437,-0.03,0.13,1.04
0.447,-0.03,0.13,1.04
0.465,-0.03,0.13,1.05
0.466,-0.04,0.13,1.06
0.476,-0.03,0.14,1.05
0.506,-0.03,0.15,1.04
0.507,-0.04,0.14,1.04
0.508,-0.04,0.14,1.04
0.524,-0.04,0.16,1.04
0.525,-0.03,0.15,1.05
0.536,-0.04,0.15,1.04
0.556,-0.05,0.14,1.02
0.559,-0.05,0.14,1.04
0.566,-0.04,0.14,1.03
0.576,-0.03,0.14,1.04
0.586,-0.03,0.13,1.04
0.597,-0.03,0.15,1.04
0.606,-0.02,0.15,1.04
0.616,-0.02,0.15,1.04
0.626,-0.02,0.15,1.05
0.636,-0.03,0.15,1.04
0.647,-0.03,0.14,1.04
0.687,-0.04,0.14,1.05
0.688,-0.04,0.14,1.06
