Instante,Posicao
0.0,0.0
0.002,0.002
0.047,0.052
0.2,0.223
0.202,0.225
0.25,0.279
0.4,0.446
0.404,0.45
0.451,0.503
0.6,0.669
0.603,0.672
0.651,0.725
0.8,0.891
0.804,0.896
0.851,0.948
1.0,1.114
1.003,1.118
1.051,1.171
1.2,1.337
1.203,1.34
1.251,1.394
1.4,1.56
1.404,1.564
1.452,1.618
1.599,1.782
1.603,1.786
1.653,1.842
1.8,2.006
1.803,2.009
1.853,2.065
1.999,2.227
2.002,2.231
2.054,2.289
2.199,2.45
2.202,2.453
2.256,2.514
2.399,2.673
2.402,2.676
2.457,2.738
2.6,2.897
2.668,2.973
2.668,2.973
2.8,3.12
2.802,3.122
2.858,3.184
2.999,3.342
3.002,3.345
3.059,3.408
3.199,3.564
3.202,3.568
3.26,3.632
3.4,3.788
3.402,3.791
3.461,3.856
3.6,4.007
3.602,4.01
3.661,4.074
3.8,4.225
3.802,4.227
3.862,4.292
3.999,4.441
4.002,4.444
4.062,4.51
4.2,4.66
4.202,4.662
4.263,4.728
4.399,4.876
4.402,4.879
4.463,4.945
4.6,5.094
4.602,5.096
4.664,5.164
4.8,5.312
4.802,5.314
4.864,5.381
4.999,5.528
5.002,5.531
5.065,5.6
5.199,5.745
5.202,5.749
5.265,5.817
5.4,5.964
5.402,5.966
5.466,6.036
5.599,6.18
5.602,6.183
5.666,6.253
5.8,6.399
5.802,6.401
5.867,6.471
5.999,6.615
6.002,6.618
6.066,6.688
6.199,6.832
6.202,6.836
6.267,6.906
6.399,7.05
6.402,7.053
6.468,7.125
6.599,7.267
6.602,7.27
6.668,7.342
6.8,7.486
6.802,7.488
6.868,7.56
7.0,7.703
7.002,7.705
7.068,7.777
7.2,7.92
7.202,7.923
7.271,7.991
7.4,8.118
7.402,8.12
7.469,8.187
7.6,8.316
7.602,8.318
7.677,8.392
7.8,8.514
7.802,8.516
7.87,8.583
8.0,8.712
8.002,8.714
8.07,8.781
8.2,8.909
8.202,8.911
8.271,8.98
8.4,9.107
8.402,9.109
8.471,9.177
8.6,9.305
8.602,9.307
8.671,9.375
8.8,9.503
8.802,9.505
8.872,9.574
8.999,9.7
9.002,9.703
9.073,9.773
9.2,9.898
9.202,9.9
9.286,9.983
9.4,10.096
9.402,10.098
9.474,10.169
9.6,10.294
9.602,10.296
9.674,10.367
9.8,10.492
9.802,10.494
9.874,10.565
10.0,10.689
10.002,10.691
10.074,10.763
10.202,10.889
10.203,10.89
10.275,10.961
10.4,11.085
10.402,11.087
10.475,11.159
