time,x,y,z
0.007,-0.08,0.20,1.05
0.012,-0.10,0.20,1.04
0.023,-0.11,0.21,1.02
0.033,-0.11,0.23,1.02
0.043,-0.10,0.23,1.00
0.056,-0.11,0.24,1.00
0.076,-0.11,0.24,1.01
0.077,-0.12,0.24,1.00
0.087,-0.09,0.25,1.00
0.091,-0.09,0.26,0.99
0.143,-0.09,0.25,0.98
0.144,-0.09,0.25,0.99
0.144,-0.09,0.25,0.98
0.145,-0.08,0.26,0.97
0.145,-0.08,0.24,0.99
0.155,-0.08,0.24,0.99
0.166,-0.08,0.25,1.00
0.170,-0.07,0.24,1.01
0.184,-0.07,0.24,1.02
0.191,-0.08,0.21,1.03
0.204,-0.09,0.23,1.04
0.210,-0.10,0.21,1.06
0.234,-0.10,0.17,1.05
0.235,-0.10,0.18,1.04
0.240,-0.10,0.19,1.04
0.250,-0.10,0.20,1.01
0.267,-0.11,0.19,1.00
0.283,-0.15,0.21,1.04
0.283,-0.14,0.22,1.01
0.292,-0.15,0.19,1.00
0.300,-0.13,0.19,1.03
0.313,-0.11,0.19,1.04
0.320,-0.09,0.17,1.08
0.332,-0.10,0.18,1.05
0.343,-0.08,0.18,1.04
0.354,-0.08,0.19,1.06
0.361,-0.11,0.17,1.05
0.375,-0.11,0.17,1.08
0.380,-0.12,0.16,1.09
0.390,-0.10,0.16,1.06
0.400,-0.12,0.16,1.06
0.412,-0.11,0.16,1.06
0.420,-0.12,0.16,1.07
0.431,-0.09,0.18,1.06
0.440,-0.10,0.17,1.06
0.451,-0.09,0.18,1.07
0.470,-0.08,0.16,1.06
0.471,-0.07,0.17,1.08
0.482,-0.08,0.16,1.06
0.490,-0.08,0.17,1.07
0.500,-0.09,0.15,1.06
0.517,-0.09,0.16,1.07
0.521,-0.09,0.17,1.08
0.531,-0.10,0.16,1.08
0.540,-0.09,0.16,1.08
0.551,-0.10,0.15,1.07
0.563,-0.08,0.16,1.05
0.570,-0.08,0.16,1.08
0.587,-0.07,0.15,1.07
0.590,-0.06,0.16,1.06
0.601,-0.06,0.17,1.06
0.613,-0.05,0.17,1.08
0.620,-0.05,0.17,1.06
0.632,-0.05,0.18,1.05
0.640,-0.04,0.17,1.05
0.651,-0.05,0.18,1.04
0.675,-0.04,0.18,1.06
0.676,-0.06,0.17,1.06
0.682,-0.06,0.18,1.05
0.690,-0.06,0.18,1.04
0.701,-0.06,0.18,1.05
0.718,-0.06,0.17,1.04
0.719,-0.06,0.18,1.04
0.732,-0.06,0.18,1.03
0.740,-0.06,0.18,1.04
0.751,-0.04,0.17,1.02
0.761,-0.04,0.17,1.04
0.771,-0.03,0.15,1.04
0.796,-0.04,0.14,1.04
0.797,-0.05,0.14,1.04
0.802,-0.05,0.14,1.03
0.811,-0.07,0.14,1.05
0.821,-0.08,0.14,1.06
0.831,-0.08,0.12,1.05
0.840,-0.09,0.14,1.03
0.851,-0.09,0.16,1.02
0.861,-0.07,0.18,1.00
0.871,-0.02,0.22,1.00
0.910,-0.02,0.23,0.99
0.911,-0.04,0.24,0.98
0.912,-0.05,0.23,1.00
0.912,-0.08,0.22,0.99
0.928,-0.08,0.23,0.98
0.929,-0.08,0.24,1.00
0.941,-0.06,0.21,0.98
0.953,-0.04,0.20,1.00
0.964,-0.03,0.20,0.99
0.971,-0.02,0.20,1.00
0.981,-0.01,0.19,1.00
0.990,-0.03,0.19,1.01
1.001,-0.04,0.19,1.00
1.017,-0.04,0.20,1.00
