time,x,y,z
0.003,0.02,0.03,1.02
0.024,0.00,0.03,1.04
0.025,-0.00,0.02,1.06
0.033,0.02,0.02,1.06
0.045,0.02,0.02,1.06
0.053,0.02,0.01,1.05
0.064,0.02,0.02,1.06
0.075,0.03,0.02,1.03
0.093,0.02,0.02,1.02
0.094,-0.00,0.03,1.04
0.103,-0.02,0.04,1.03
0.118,-0.02,0.07,1.02
0.123,-0.04,0.09,1.03
0.133,-0.03,0.07,1.04
0.148,-0.02,0.06,1.02
0.153,-0.00,0.06,1.02
0.163,-0.00,0.04,1.03
0.173,-0.05,0.03,1.04
0.188,-0.03,0.08,1.08
0.216,-0.00,0.08,1.05
0.217,0.02,0.04,1.02
0.218,0.02,0.02,1.01
0.223,0.02,0.02,1.00
0.234,0.02,0.03,1.00
0.248,0.02,0.04,1.01
0.253,0.01,0.02,1.00
0.263,-0.00,0.02,1.01
0.273,0.02,0.02,1.02
0.301,0.02,0.02,1.02
0.302,0.02,0.01,1.01
0.305,0.01,0.01,1.01
0.319,0.02,-0.00,1.02
0.323,0.03,-0.00,1.00
0.333,0.04,-0.00,0.99
0.347,0.04,-0.01,1.01
0.353,0.05,0.00,1.02
0.364,0.06,-0.00,1.04
0.373,0.05,0.00,1.07
0.402,0.06,-0.00,1.09
0.403,0.08,-0.00,1.10
0.403,0.07,-0.01,1.10
0.413,0.07,-0.02,1.09
0.423,0.06,-0.03,1.08
0.433,0.04,-0.02,1.08
0.443,0.04,-0.01,1.07
0.453,0.04,0.02,1.02
0.464,0.02,0.04,1.01
0.475,0.02,0.05,0.99
0.497,-0.00,0.06,0.98
0.498,-0.03,0.08,0.99
0.505,-0.04,0.08,1.01
0.521,-0.02,0.07,1.02
0.523,-0.00,0.06,1.02
0.533,0.00,0.04,1.02
0.548,0.01,0.02,1.02
0.553,0.01,0.01,1.02
0.563,0.01,-0.01,1.03
0.574,-0.00,0.01,1.02
0.595,-0.00,0.03,1.02
0.596,-0.00,0.04,1.03
0.607,-0.01,0.03,1.04
0.623,-0.01,0.03,1.02
0.625,0.00,0.02,1.02
0.633,-0.00,0.02,1.04
0.645,0.01,0.01,1.04
0.653,0.02,0.01,1.04
0.663,0.01,-0.00,1.07
0.675,0.01,-0.01,1.07
0.692,0.02,0.01,1.08
0.693,0.03,0.01,1.07
0.703,0.04,0.01,1.07
0.719,0.04,0.02,1.06
0.723,0.04,0.02,1.06
0.734,0.02,0.00,1.04
0.747,-0.01,-0.02,0.97
0.753,0.02,0.01,0.97
0.763,0.02,0.01,1.02
0.773,0.04,-0.02,1.02
0.789,0.02,-0.00,1.02
0.816,0.02,0.02,1.04
0.817,0.02,0.01,1.05
0.817,0.04,0.03,1.03
0.825,0.03,0.02,1.05
0.833,0.03,-0.00,1.03
0.844,0.04,0.00,1.01
0.853,0.02,0.01,1.03
0.863,0.04,0.02,1.02
0.875,0.03,0.03,1.03
0.892,0.03,0.01,1.05
0.893,0.04,0.01,1.03
0.907,0.04,-0.02,1.07
0.924,0.04,0.01,1.06
0.925,0.04,-0.04,1.03
0.933,0.02,0.01,1.02
0.948,0.02,-0.01,1.04
0.954,0.03,0.01,1.06
0.963,0.03,0.02,1.03
0.973,0.04,0.01,1.04
0.991,0.03,0.01,1.01
0.999,0.02,-0.00,1.01
1.003,0.03,-0.00,1.02
1.017,0.02,-0.01,1.02
1.025,0.03,-0.02,1.03
1.034,0.02,-0.01,1.03
1.049,0.02,-0.02,0.99
1.053,0.00,-0.00,1.02
1.063,0.04,-0.01,1.08
1.074,0.03,-0.02,1.05
1.104,0.02,-0.03,1.05
1.105,0.02,-0.02,1.05
1.105,0.02,-0.01,1.04
1.117,0.02,-0.00,1.05
1.125,0.03,0.00,1.04
1.133,0.03,0.00,1.03
1.147,0.02,0.01,1.03
1.153,0.02,-0.01,1.04
1.163,0.02,-0.00,1.03
1.174,0.03,0.01,1.05
1.198,0.03,0.00,1.07
1.199,0.06,-0.02,1.06
1.203,0.02,-0.00,1.06
1.222,0.02,-0.01,1.05
1.224,0.03,0.01,1.04
1.235,0.02,0.00,1.05
1.252,0.00,-0.02,1.06
1.253,0.00,-0.04,1.05
1.265,0.01,-0.04,1.03
1.273,0.04,-0.01,1.00
1.283,0.04,-0.00,1.02
1.314,0.05,-0.02,1.01
1.315,0.05,-0.03,1.00
1.315,0.04,-0.02,1.00
1.323,0.04,-0.01,0.99
1.334,0.04,0.01,1.00
1.348,0.04,0.02,1.01
1.353,0.05,0.02,1.02
1.363,0.03,0.01,1.01
