Instante,Posicao
0.0,0.0
0.071,0.087
0.145,0.177
0.2,0.245
0.271,0.332
0.345,0.422
0.4,0.49
0.471,0.576
0.545,0.667
0.6,0.734
0.671,0.821
0.745,0.912
0.8,0.979
0.871,1.066
0.945,1.157
1.0,1.224
1.071,1.311
1.145,1.401
1.2,1.469
1.271,1.556
1.346,1.647
1.4,1.714
1.472,1.802
1.548,1.895
1.6,1.958
1.671,2.045
1.748,2.14
1.8,2.203
1.871,2.29
1.949,2.386
2.071,2.535
2.071,2.535
2.149,2.63
2.2,2.693
2.271,2.78
2.349,2.875
2.4,2.938
2.471,3.024
2.549,3.12
2.6,3.182
2.671,3.269
2.799,3.426
2.8,3.427
2.871,3.514
3.0,3.672
3.0,3.672
3.071,3.759
3.199,3.916
3.2,3.917
3.271,4.004
3.399,4.16
3.4,4.162
3.471,4.248
3.598,4.404
3.6,4.406
3.671,4.493
3.799,4.65
3.8,4.651
3.871,4.738
4.0,4.896
4.0,4.896
4.071,4.983
4.201,5.151
4.201,5.151
4.271,5.241
4.4,5.407
4.401,5.409
4.471,5.499
4.6,5.665
4.601,5.667
4.671,5.757
4.801,5.925
4.801,5.925
4.871,6.015
5.001,6.183
5.001,6.183
5.071,6.273
5.2,6.44
5.201,6.441
5.271,6.531
5.4,6.698
5.402,6.7
5.471,6.789
5.6,6.956
5.602,6.958
5.671,7.047
5.8,7.214
5.802,7.216
5.871,7.305
6.001,7.473
6.002,7.474
6.071,7.564
6.201,7.731
6.202,7.733
6.271,7.822
6.4,7.988
6.402,7.991
6.471,8.08
6.6,8.246
6.603,8.25
6.671,8.338
6.8,8.504
6.804,8.509
6.871,8.596
7.0,8.762
7.004,8.767
7.085,8.872
7.2,9.02
7.206,9.028
7.271,9.112
7.4,9.278
7.406,9.286
7.471,9.37
7.6,9.536
7.607,9.545
7.671,9.628
7.8,9.794
7.808,9.805
7.871,9.886
8.001,10.054
8.008,10.063
8.072,10.145
8.2,10.311
8.208,10.321
8.271,10.402
8.4,10.569
8.408,10.579
8.471,10.66
8.6,10.827
8.608,10.837
8.676,10.925
8.8,11.085
8.808,11.095
8.871,11.176
9.0,11.343
9.008,11.353
9.071,11.434
9.2,11.601
9.208,11.611
9.271,11.693
9.4,11.859
9.409,11.871
9.471,11.951
9.6,12.117
9.61,12.13
9.672,12.21
9.8,12.375
9.81,12.388
9.871,12.467
10.0,12.633
10.011,12.647
10.071,12.725
10.2,12.891
10.21,12.904
10.271,12.983
10.4,13.149
10.41,13.162
10.471,13.241
10.6,13.407
10.61,13.42
10.671,13.499
10.8,13.665
10.811,13.68
10.871,13.757
