Instante,Posicao
0.0,0.0
0.071,0.07
0.145,0.142
0.2,0.196
0.271,0.265
0.345,0.338
0.4,0.392
0.471,0.461
0.545,0.534
0.6,0.588
0.671,0.657
0.745,0.729
0.8,0.783
0.871,0.853
0.945,0.925
1.0,0.979
1.071,1.049
1.145,1.121
1.2,1.175
1.271,1.245
1.346,1.318
1.4,1.371
1.472,1.441
1.548,1.516
1.6,1.567
1.671,1.636
1.748,1.712
1.8,1.763
1.871,1.832
1.949,1.908
2.071,2.028
2.071,2.028
2.149,2.104
2.2,2.154
2.271,2.224
2.349,2.3
2.4,2.35
2.471,2.42
2.549,2.496
2.6,2.546
2.671,2.615
2.799,2.741
2.8,2.742
2.871,2.811
3.0,2.938
3.0,2.938
3.071,3.007
3.199,3.132
3.2,3.133
3.271,3.203
3.399,3.328
3.4,3.329
3.471,3.399
3.598,3.523
3.6,3.525
3.671,3.595
3.799,3.72
3.8,3.721
3.871,3.79
4.0,3.917
4.0,3.917
4.071,3.986
4.201,4.12
4.201,4.12
4.271,4.193
4.4,4.326
4.401,4.327
4.471,4.399
4.6,4.532
4.601,4.533
4.671,4.606
4.801,4.74
4.801,4.74
4.871,4.812
5.001,4.946
5.001,4.946
5.071,5.019
5.2,5.152
5.201,5.153
5.271,5.225
5.4,5.358
5.402,5.36
5.471,5.431
5.6,5.565
5.602,5.567
5.671,5.638
5.8,5.771
5.802,5.773
5.871,5.844
6.001,5.979
6.002,5.98
6.071,6.051
6.201,6.185
6.202,6.186
6.271,6.257
6.4,6.39
6.402,6.392
6.471,6.464
6.6,6.597
6.603,6.6
6.671,6.67
6.8,6.803
6.804,6.807
6.871,6.877
7.0,7.01
7.004,7.014
7.085,7.098
7.2,7.216
7.206,7.222
7.271,7.29
7.4,7.423
7.406,7.429
7.471,7.496
7.6,7.629
7.607,7.636
7.671,7.702
7.8,7.836
7.808,7.844
7.871,7.909
8.001,8.043
8.008,8.05
8.072,8.116
8.2,8.248
8.208,8.257
8.271,8.322
8.4,8.455
8.408,8.463
8.471,8.528
8.6,8.661
8.608,8.67
8.676,8.74
8.8,8.868
8.808,8.876
8.871,8.941
9.0,9.074
9.008,9.083
9.071,9.148
9.2,9.281
9.208,9.289
9.271,9.354
9.4,9.487
9.409,9.496
9.471,9.56
9.6,9.694
9.61,9.704
9.672,9.768
9.8,9.9
9.81,9.91
9.871,9.973
10.0,10.107
10.011,10.118
10.071,10.18
10.2,10.313
10.21,10.323
10.271,10.386
10.4,10.519
10.41,10.53
10.471,10.593
10.6,10.726
10.61,10.736
10.671,10.799
10.8,10.932
10.811,10.944
10.871,11.006
