Instante,Posicao
0.0,0.0
0.002,0.0
0.047,0.004
0.2,0.046
0.202,0.046
0.25,0.05
0.4,0.09
0.404,0.09
0.451,0.094
0.6,0.134
0.603,0.134
0.651,0.138
0.8,0.178
0.804,0.178
0.851,0.182
1.0,0.222
1.003,0.222
1.051,0.226
1.2,0.266
1.203,0.266
1.251,0.27
1.4,0.31
1.404,0.31
1.452,0.314
1.599,0.353
1.603,0.353
1.653,0.357
1.8,0.396
1.803,0.396
1.853,0.401
1.999,0.439
2.002,0.439
2.054,0.444
2.199,0.482
2.202,0.482
2.256,0.487
2.399,0.523
2.402,0.523
2.457,0.529
2.6,0.566
2.668,0.574
2.668,0.574
2.8,0.605
2.802,0.605
2.858,0.611
2.999,0.647
3.002,0.647
3.059,0.652
3.199,0.688
3.202,0.688
3.26,0.694
3.4,0.729
3.402,0.729
3.461,0.735
3.6,0.771
3.602,0.771
3.661,0.777
3.8,0.813
3.802,0.813
3.862,0.819
3.999,0.854
4.002,0.854
4.062,0.86
4.2,0.895
4.202,0.895
4.263,0.902
4.399,0.936
4.402,0.936
4.463,0.943
4.6,0.978
4.602,0.978
4.664,0.985
4.8,1.019
4.802,1.019
4.864,1.026
4.999,1.059
5.002,1.059
5.065,1.067
5.199,1.1
5.202,1.1
5.265,1.107
5.4,1.141
5.402,1.141
5.466,1.148
5.599,1.181
5.602,1.181
5.666,1.188
5.8,1.221
5.802,1.221
5.867,1.229
5.999,1.261
6.002,1.261
6.066,1.269
6.199,1.301
6.202,1.301
6.267,1.309
6.399,1.341
6.402,1.341
6.468,1.349
6.599,1.381
6.602,1.381
6.668,1.389
6.8,1.421
6.802,1.421
6.868,1.429
7.0,1.461
7.002,1.461
7.068,1.469
7.2,1.501
7.202,1.501
7.271,1.51
7.4,1.54
7.402,1.54
7.469,1.549
7.6,1.58
7.602,1.58
7.677,1.591
7.8,1.618
7.802,1.618
7.87,1.627
8.0,1.658
8.002,1.658
8.07,1.667
8.2,1.698
8.202,1.698
8.271,1.706
8.4,1.737
8.402,1.737
8.471,1.746
8.6,1.776
8.602,1.776
8.671,1.785
8.8,1.816
8.802,1.816
8.872,1.825
8.999,1.854
9.002,1.855
9.073,1.864
9.2,1.893
9.202,1.893
9.286,1.906
9.4,1.93
9.402,1.93
9.474,1.94
9.6,1.969
9.602,1.969
9.674,1.979
9.8,2.008
9.802,2.008
9.874,2.017
10.0,2.047
10.002,2.047
10.074,2.056
10.202,2.086
10.203,2.086
10.275,2.096
10.4,2.125
10.402,2.125
10.475,2.134
