Instante,Posicao
0.0,0.0
0.01,0.014
0.025,0.034
0.032,0.044
0.04,0.054
0.055,0.075
0.066,0.09
0.073,0.099
0.087,0.119
0.091,0.124
0.1,0.136
0.11,0.15
0.121,0.165
0.132,0.18
0.14,0.191
0.151,0.206
0.161,0.219
0.171,0.233
0.183,0.249
0.19,0.259
0.204,0.278
0.233,0.317
0.234,0.319
0.234,0.319
0.244,0.332
0.251,0.342
0.277,0.377
0.279,0.38
0.294,0.401
0.294,0.401
0.302,0.411
0.31,0.422
0.324,0.441
0.332,0.452
0.34,0.463
0.351,0.478
0.36,0.49
0.371,0.505
0.382,0.52
0.39,0.531
0.4,0.545
0.41,0.559
0.435,0.593
0.436,0.594
0.459,0.625
0.459,0.625
0.46,0.627
0.471,0.642
0.487,0.663
0.49,0.668
0.5,0.681
0.51,0.695
0.526,0.717
0.532,0.725
0.54,0.736
0.551,0.751
0.56,0.763
0.571,0.778
0.583,0.794
0.59,0.804
0.6,0.817
0.61,0.831
0.633,0.862
0.633,0.862
0.64,0.872
0.651,0.887
0.66,0.899
0.671,0.914
0.682,0.929
0.69,0.94
0.701,0.955
0.71,0.967
0.72,0.981
0.742,1.011
0.743,1.012
0.753,1.026
0.76,1.035
0.77,1.049
0.783,1.067
0.8,1.09
0.81,1.104
0.821,1.119
0.837,1.14
0.842,1.147
0.852,1.161
0.86,1.172
0.87,1.185
0.882,1.202
0.89,1.213
0.9,1.226
0.91,1.24
0.922,1.256
0.936,1.275
0.94,1.281
0.954,1.3
0.96,1.308
0.97,1.322
0.982,1.338
0.99,1.349
1.0,1.362
1.01,1.376
1.027,1.399
1.03,1.403
1.04,1.417
1.05,1.431
1.066,1.452
1.073,1.462
1.082,1.474
1.095,1.492
1.1,1.499
1.11,1.512
1.12,1.526
1.142,1.556
1.142,1.556
1.15,1.567
1.16,1.58
1.173,1.598
1.181,1.609
1.191,1.623
1.2,1.635
1.21,1.649
1.244,1.695
1.246,1.698
1.247,1.699
1.253,1.707
1.26,1.717
1.285,1.751
1.285,1.751
1.294,1.763
1.304,1.777
1.31,1.785
1.329,1.811
1.33,1.812
1.34,1.826
1.353,1.843
1.36,1.853
1.37,1.866
1.382,1.883
1.39,1.894
1.401,1.909
1.41,1.921
1.427,1.944
1.444,1.967
1.447,1.971
1.459,1.988
1.46,1.989
1.47,2.003
1.482,2.019
1.49,2.03
1.5,2.044
1.51,2.057
1.527,2.08
1.531,2.086
1.54,2.098
1.55,2.112
1.56,2.125
1.57,2.139
1.582,2.155
1.59,2.166
1.601,2.181
1.61,2.193
1.633,2.225
1.634,2.226
1.64,2.234
1.65,2.248
1.66,2.262
1.671,2.277
1.684,2.294
1.69,2.302
1.701,2.317
1.71,2.33
1.72,2.343
1.739,2.369
1.74,2.371
1.757,2.394
1.761,2.399
1.771,2.413
1.782,2.428
1.79,2.439
1.8,2.452
1.81,2.466
1.822,2.482
1.831,2.495
1.841,2.508
1.856,2.529
1.86,2.534
1.872,2.55
1.882,2.564
1.89,2.575
1.9,2.589
1.91,2.602
1.936,2.638
1.937,2.639
1.943,2.647
1.95,2.657
1.96,2.67
1.971,2.685
1.987,2.707
1.991,2.713
2.0,2.725
2.01,2.738
2.031,2.767
2.032,2.768
2.04,2.779
2.05,2.793
2.076,2.828
2.077,2.83
2.085,2.841
2.09,2.847
2.1,2.861
2.11,2.875
2.128,2.899
2.133,2.906
2.14,2.916
2.15,2.929
2.16,2.943
2.171,2.958
2.181,2.971
2.191,2.985
2.2,2.997
2.21,3.011
2.243,3.056
2.243,3.056
2.244,3.057
2.256,3.074
2.26,3.079
2.276,3.101
2.283,3.11
2.29,3.12
2.301,3.135
2.31,3.147
2.329,3.173
2.329,3.173
2.34,3.188
2.35,3.202
2.36,3.215
2.371,3.23
2.387,3.252
2.392,3.259
2.4,3.27
2.41,3.283
2.42,3.297
2.433,3.315
2.456,3.346
2.458,3.349
2.464,3.357
2.47,3.365
2.485,3.386
2.49,3.392
2.5,3.406
2.51,3.42
2.52,3.433
2.547,3.47
2.547,3.47
2.554,3.48
2.56,3.488
2.57,3.501
2.585,3.522
2.59,3.529
2.6,3.542
2.61,3.556
2.62,3.569
2.647,3.606
2.648,3.608
2.655,3.617
2.66,3.624
2.671,3.639
2.682,3.654
2.69,3.665
2.701,3.68
2.71,3.692
2.72,3.706
2.741,3.734
2.742,3.736
2.757,3.756
2.763,3.764
2.776,3.782
2.78,3.787
2.79,3.801
2.802,3.817
2.81,3.828
2.82,3.842
2.847,3.879
2.848,3.88
2.854,3.888
2.86,3.896
2.872,3.913
2.887,3.933
2.89,3.937
2.9,3.951
2.91,3.965
2.921,3.98
2.945,4.012
2.946,4.014
2.954,4.025
2.96,4.033
2.971,4.048
2.986,4.068
2.99,4.074
3.0,4.087
3.01,4.101
3.02,4.114
3.051,4.157
3.052,4.158
3.053,4.159
3.07,4.183
3.072,4.185
3.083,4.2
3.09,4.21
3.1,4.223
3.11,4.237
3.12,4.251
3.145,4.285
3.145,4.285
3.151,4.293
3.16,4.305
3.17,4.319
3.181,4.334
3.19,4.346
3.2,4.36
3.21,4.373
3.233,4.405
3.234,4.406
3.241,4.416
3.261,4.443
3.262,4.444
3.284,4.474
3.285,4.475
3.291,4.484
3.305,4.503
3.31,4.51
3.32,4.523
3.331,4.538
3.352,4.567
3.353,4.568
3.363,4.582
3.373,4.595
3.381,4.606
3.39,4.619
3.407,4.642
3.412,4.649
3.42,4.659
3.433,4.677
3.447,4.696
3.45,4.7
3.46,4.714
3.47,4.728
3.485,4.748
3.49,4.755
3.5,4.768
3.51,4.782
3.52,4.796
3.539,4.822
3.54,4.823
3.554,4.842
3.56,4.85
3.57,4.864
3.58,4.877
3.59,4.891
3.6,4.905
3.61,4.918
3.62,4.932
3.64,4.959
3.647,4.969
3.652,4.975
3.661,4.988
3.671,5.003
3.682,5.019
3.69,5.031
3.701,5.047
3.71,5.06
3.721,5.076
3.746,5.113
3.747,5.115
3.753,5.124
3.76,5.134
3.771,5.15
3.786,5.173
3.79,5.179
3.801,5.195
3.81,5.208
3.82,5.223
3.842,5.255
3.843,5.257
3.859,5.281
3.86,5.282
3.871,5.298
3.882,5.315
