Instante,Posicao
0.0,0.0
0.012,0.0
0.023,0.0
0.041,0.001
0.042,0.001
0.048,0.001
0.059,0.001
0.068,0.001
0.078,0.001
0.102,0.001
0.103,0.001
0.108,0.001
0.118,0.001
0.129,0.002
0.141,0.002
0.148,0.002
0.159,0.002
0.168,0.002
0.179,0.002
0.205,0.003
0.206,0.003
0.207,0.003
0.218,0.003
0.229,0.003
0.245,0.003
0.249,0.003
0.262,0.003
0.268,0.003
0.279,0.003
0.298,0.004
0.303,0.004
0.312,0.004
0.318,0.004
0.328,0.004
0.342,0.004
0.351,0.004
0.386,0.005
0.387,0.005
0.387,0.005
0.388,0.005
0.399,0.005
0.408,0.005
0.418,0.006
0.432,0.006
0.442,0.006
0.448,0.006
0.459,0.006
0.468,0.006
0.478,0.006
0.504,0.007
0.505,0.007
0.509,0.007
0.518,0.007
0.564,0.009
0.565,0.009
0.566,0.009
0.567,0.009
0.567,0.009
0.593,0.009
0.594,0.009
0.598,0.009
0.609,0.009
0.618,0.009
0.643,0.01
0.643,0.01
0.648,0.01
0.658,0.01
0.668,0.01
0.679,0.01
0.706,0.011
0.707,0.011
0.707,0.011
0.718,0.011
0.729,0.011
0.747,0.012
0.748,0.012
0.762,0.012
0.768,0.012
0.778,0.012
0.805,0.012
0.806,0.012
0.806,0.012
0.818,0.013
0.829,0.013
0.843,0.013
0.848,0.013
0.859,0.013
0.868,0.013
0.879,0.013
0.905,0.014
0.906,0.014
0.906,0.014
0.918,0.014
0.928,0.014
0.946,0.014
0.947,0.014
0.959,0.014
0.968,0.015
0.979,0.015
1.005,0.015
1.006,0.015
1.006,0.015
1.023,0.015
1.034,0.016
1.043,0.016
1.048,0.016
1.058,0.016
1.068,0.016
1.078,0.016
1.108,0.017
1.108,0.017
1.109,0.017
1.118,0.017
1.129,0.017
1.144,0.017
1.148,0.017
1.159,0.017
1.168,0.017
1.179,0.017
1.211,0.018
1.212,0.018
1.212,0.018
1.218,0.018
1.229,0.018
1.24,0.019
1.248,0.019
1.259,0.019
1.268,0.019
1.278,0.019
1.306,0.02
1.306,0.02
1.307,0.02
1.318,0.02
1.329,0.02
1.341,0.02
1.348,0.02
1.372,0.021
