time,x,y,z
0.0100,-0.0938,0.2815,0.6883
0.0750,-0.2033,0.2346,0.8603
0.1450,-0.1407,0.2033,1.0636
0.2150,-0.1563,0.2658,0.8760
0.2900,-0.2189,0.2815,0.8916
0.3550,-0.0938,0.2189,0.9072
0.4250,-0.1720,0.2033,0.8760
0.5090,-0.1251,0.2189,0.6883
0.5650,-0.1251,0.1407,0.9072
0.6360,-0.0781,0.1407,0.9072
0.7060,-0.1094,0.1407,0.9542
0.7740,-0.1876,0.0938,0.9385
0.8450,-0.2502,0.1407,0.8760
0.9150,-0.1876,0.0625,1.0636
0.9750,-0.2346,-0.0157,1.0324
1.0450,-0.2815,0.0312,1.1262
1.1150,-0.2502,-0.0001,1.0793
1.1970,-0.0938,0.0625,0.9229
1.2660,-0.0781,-0.0157,1.0324
1.3350,0.1095,-0.0783,1.0167
1.4100,0.1565,-0.0626,0.9229
1.4740,0.3598,-0.0939,0.7508
1.5450,0.5475,-0.0783,0.7352
1.6140,0.6413,-0.1721,0.5006
1.6750,0.8916,-0.3129,0.1252
1.7550,0.9698,-0.2972,-0.0781
1.8250,0.7195,-0.2190,-0.1563
1.9030,0.8916,-0.1878,-0.0938
1.9540,1.1106,-0.1721,-0.0781
2.0350,0.9385,-0.1408,-0.0781
2.1320,1.0324,-0.1095,-0.0312
2.1760,1.2983,-0.0626,-0.0781
2.2450,1.3765,-0.0157,-0.0312
2.3160,1.2044,-0.0001,-0.0312
2.3850,1.0793,-0.0001,-0.0625
2.4540,1.1575,-0.0157,-0.0938
2.5250,1.1418,-0.0313,-0.1094
2.6120,1.0011,-0.0470,-0.0938
2.6650,0.9854,-0.0313,-0.1094
2.7350,1.0793,-0.0313,-0.1094
2.8370,0.9698,-0.0470,-0.0781
2.8750,0.8447,-0.0470,-0.0625
2.9450,0.9072,-0.0157,-0.0781
3.0230,1.0011,-0.0313,-0.0938
3.0750,0.9385,-0.0313,-0.1094
3.1450,0.9854,-0.0313,-0.0938
3.2270,1.0793,-0.0313,-0.1094
3.2980,0.9698,-0.0313,-0.1251
3.3660,1.0011,-0.0313,-0.1094
3.4450,0.9698,-0.0313,-0.1094
3.5120,0.9854,-0.0313,-0.1094
3.5650,1.0167,-0.0157,-0.1251
3.6350,1.0324,-0.0157,-0.1094
3.7160,0.9854,-0.0157,-0.1094
3.7850,1.0324,-0.0001,-0.1407
3.8550,1.0011,-0.0157,-0.1251
3.9300,1.0324,-0.0001,-0.1407
3.9850,1.0167,-0.0001,-0.1251
4.0650,1.0167,-0.0157,-0.1094
4.1350,0.9542,-0.0157,-0.1094
4.2190,0.9854,-0.0001,-0.0938
4.2650,1.0011,-0.0001,-0.0938
4.3450,0.9854,-0.0157,-0.1094
4.4320,1.0167,-0.0001,-0.0938
4.4850,0.9854,-0.0157,-0.0938
4.5570,0.9854,-0.0001,-0.1094
4.6290,1.0011,-0.0001,-0.1094
4.6950,0.9854,-0.0157,-0.1094
4.7650,1.0011,-0.0157,-0.1094
4.8350,1.0167,-0.0157,-0.1094
4.9290,1.0011,-0.0157,-0.1094
4.9750,1.0011,-0.0157,-0.1094
5.0490,1.0011,-0.0157,-0.0938
5.1310,1.0011,-0.0157,-0.0938
5.1850,1.0011,-0.0157,-0.0938
5.2580,1.0011,-0.0001,-0.0938
5.3260,1.0011,-0.0001,-0.0938
5.4180,0.9854,-0.0001,-0.0938
5.4760,1.0011,-0.0001,-0.0938
5.5460,0.9854,-0.0001,-0.0938
5.6400,1.0011,-0.0001,-0.1094
5.6850,1.0011,-0.0157,-0.0938
5.7570,1.0011,-0.0001,-0.0938
5.8410,1.0011,-0.0001,-0.0938
5.8950,1.0011,-0.0157,-0.0938
5.9650,1.0167,-0.0157,-0.0938
6.0470,1.0011,-0.0001,-0.0781
6.1320,1.0167,-0.0157,-0.0781
6.1750,1.0011,-0.0157,-0.0938
6.2460,0.9854,-0.0001,-0.0938
6.3050,1.0011,-0.0001,-0.1094
6.3850,0.9854,-0.0157,-0.1094
6.4690,0.9698,-0.0001,-0.1094
6.5770,0.9854,-0.0157,-0.1094
6.5960,1.0011,-0.0001,-0.1094
6.6650,1.0167,-0.0157,-0.1094
6.7490,0.9698,-0.0157,-0.0938
6.7950,1.0011,-0.0001,-0.0938
6.8660,0.9854,-0.0001,-0.0938
6.9500,1.0011,-0.0001,-0.0938
7.0150,1.0011,-0.0001,-0.0938
7.0850,1.0167,-0.0157,-0.1094
7.1580,1.0011,-0.0157,-0.1094
7.2640,1.0167,-0.0157,-0.1251
7.2950,0.9698,-0.0001,-0.1094
7.3710,0.9854,-0.0001,-0.1094
7.4530,1.0011,-0.0001,-0.1094
7.4950,1.0011,-0.0001,-0.0938
7.5750,1.0167,-0.0001,-0.0938
7.6630,1.0011,-0.0001,-0.0938
7.7160,1.0167,-0.0001,-0.0938
7.7950,0.9854,-0.0157,-0.0781
7.8690,1.0324,-0.0001,-0.0938
7.9570,1.0011,-0.0157,-0.0938
8.0060,0.9542,-0.0157,-0.0938
8.0750,0.9542,-0.0157,-0.0938
8.1850,0.9854,-0.0157,-0.0781
8.2160,1.0011,-0.0001,-0.0938
8.2860,1.0793,-0.0001,-0.0938
8.3610,1.0793,-0.0157,-0.0938
8.4560,1.0480,-0.0001,-0.1251
8.4960,1.2513,0.0312,-0.1251
8.5900,1.5016,0.0312,-0.1407
8.6350,1.6893,0.0469,-0.1407
8.7070,1.7675,0.0469,-0.1876
8.7760,-2.0020,0.0625,-0.2189
8.8730,-2.0020,0.0781,-0.2658
8.9150,-2.0020,0.0938,-0.3128
9.0160,-2.0020,0.1094,-0.2971
9.0810,1.6736,0.1094,-0.2033
9.1290,0.8916,0.0312,-0.1720
9.2050,0.7977,-0.0001,-0.1563
9.2940,0.8760,-0.0001,-0.0938
9.3420,0.4380,-0.0626,-0.0625
9.4200,0.4224,-0.0470,-0.0312
9.4840,0.4693,-0.0939,-0.0625
9.5450,1.6580,-0.0157,-0.0625
9.6150,-2.0020,0.2033,-0.1720
9.7130,-2.0020,0.1563,-0.3440
9.7550,-2.0020,0.1094,-0.5787
9.8250,-2.0020,-0.2660,-0.5474
9.8950,-2.0020,-0.4693,-0.4692
9.9900,-2.0020,-0.7508,0.0783
10.0350,-2.0020,-0.8760,0.6883
10.1050,1.7675,-0.8134,0.1565
10.1930,1.9708,-0.9698,-0.0625
10.2460,-2.0020,-0.9698,-0.4222
10.3200,-2.0020,-0.6883,-0.3128
10.4100,-2.0020,-0.5788,-0.3128
10.4870,-2.0020,-0.8134,0.2816
10.5250,-2.0020,-0.5006,0.9385
10.6010,-2.0020,-0.0939,0.6101
10.6970,-2.0020,0.0312,0.4224
10.7350,-2.0020,-0.2972,-0.2033
10.8050,-2.0020,-0.0157,-0.5943
10.9260,-2.0020,0.0156,-0.5630
10.9550,-2.0020,-0.1252,-0.3597
11.0170,1.5798,-0.1408,-0.4066
11.1020,1.1575,-0.1565,-0.2033
11.1550,1.4703,-0.2034,-0.2502
11.2390,-2.0020,-0.1252,-0.4066
11.3080,-2.0020,-0.2660,-0.5161
11.3930,-2.0020,-0.2034,-0.3284
11.4350,-2.0020,-0.2347,-0.5630
11.5290,-2.0020,-0.0470,-0.3910
11.5970,-2.0020,-0.0626,-0.1720
11.6470,-2.0020,-0.2660,0.0626
11.7220,-2.0020,-0.4849,0.0783
11.8070,-2.0020,-0.7665,0.1878
11.8550,1.2357,-0.7977,0.3911
11.9250,0.7352,-0.7195,0.1252
11.9970,0.6257,-0.7352,-0.0625
12.0550,1.1731,-0.6101,-0.0469
12.1450,1.3295,-0.5162,-0.3128
12.2250,1.9865,-0.3442,-0.2971
12.3120,-2.0020,-0.6726,-1.0166
12.3450,-2.0020,-0.7665,-0.1876
12.4270,-2.0020,-0.5788,0.5631
12.5100,-2.0020,-0.2660,1.1418
12.5560,-2.0020,-0.1565,0.5631
12.6400,-2.0020,-0.3442,0.1408
12.7550,-2.0020,-0.5006,-0.0625
12.7770,-2.0020,-0.5631,-0.1407
12.8440,1.9552,-0.5319,-0.3910
12.9210,1.2983,-0.5475,-0.3284
13.0350,1.0636,-0.4224,-0.1563
13.0450,0.8290,-0.4224,0.1408
13.1250,1.2826,-0.2816,0.2972
13.2190,1.5016,-0.2503,0.3442
13.2550,-2.0020,-0.0470,0.0470
13.3300,-2.0020,0.0156,-0.1094
13.4310,-2.0020,0.2033,-0.1407
13.4650,-2.0020,0.2189,-0.0156
13.5370,-2.0020,0.1563,0.0157
13.6480,1.5798,0.0781,0.0313
13.6750,0.9229,0.0156,0.0313
13.7550,0.7977,-0.0001,0.0157
13.8330,0.6101,-0.0157,0.0001
13.8750,0.5319,-0.0313,0.0001
13.9820,0.6883,-0.0470,0.0626
14.8470,1.0167,-0.0313,0.0783
14.8510,1.3139,-0.0001,0.0626
14.8530,1.5954,-0.0313,0.1252
14.8550,1.9708,0.0781,0.1252
14.8560,1.9552,0.0938,0.0939
14.8590,1.8301,0.0469,-0.1094
14.8610,1.5329,0.0312,0.0001
14.8630,1.0636,-0.0470,0.0157
14.8640,1.0011,-0.0626,-0.0469
14.8660,0.9385,-0.0626,-0.0625
14.8680,0.8760,-0.0470,-0.0625
14.8700,0.8603,-0.0313,-0.0938
14.8840,0.9542,-0.0313,-0.0938
14.9590,1.0324,-0.0313,-0.0469
15.0300,1.1262,-0.0001,-0.0312
15.1070,1.1888,0.0156,0.0001
15.2020,1.1262,-0.0001,0.0157
15.2330,1.1418,-0.0157,0.0470
15.2950,1.1575,-0.0157,0.0313
15.3680,1.0324,-0.0157,0.0001
15.4990,0.9542,-0.0313,-0.0156
15.5140,0.9698,-0.0157,-0.0312
15.5750,1.0167,-0.0001,-0.0312
15.6450,1.0480,-0.0001,-0.0312
15.7180,1.0793,-0.0001,-0.0469
15.8130,1.0793,-0.0157,-0.0469
15.8550,1.0636,-0.0313,-0.0469
15.9520,1.0636,-0.0470,-0.0156
16.0310,1.0324,-0.0470,-0.0156
16.0650,1.0167,-0.0313,-0.0156
16.1390,1.1106,-0.0157,-0.0469
16.2220,1.0949,-0.0157,0.0001
16.2740,1.1731,-0.0313,-0.0781
16.3610,1.0480,-0.0626,-0.0781
16.4830,1.0793,-0.0470,-0.0312
16.4960,1.0324,-0.0470,-0.0469
16.6330,1.0949,-0.0470,-0.0781
16.6360,1.1262,-0.0313,-0.0781
16.7800,1.0480,-0.0157,-0.0469
16.7820,1.1106,-0.0001,-0.0469
16.8720,0.9854,-0.0001,-0.0781
16.9510,1.0011,-0.0157,-0.0625
17.0340,0.9385,-0.0001,-0.0625
17.0550,1.0324,-0.0001,-0.0625
17.1170,0.8603,-0.0157,-0.0625
17.2150,0.9854,-0.0157,-0.0312
17.2990,1.0480,-0.0001,-0.0469
17.3930,1.0167,-0.0157,-0.0469
17.3950,0.8760,-0.0157,-0.0625
17.4760,0.8916,-0.0001,-0.0625
17.5860,0.7508,-0.0001,-0.0781
17.6140,1.0011,0.1251,0.0001
17.6900,1.0480,0.2502,0.1408
17.8010,0.9542,0.4535,0.2347
17.8270,0.7352,0.3128,0.6101
17.8960,0.6101,0.0312,0.6883
17.9950,0.7352,0.0625,0.5475
18.0700,0.7665,0.1720,0.6570
18.1050,0.6883,0.2502,0.7821
