time,AccelerometerX,AccelerometerY,AccelerometerZ,Light
0.0070,0.0010,-0.2629,0.9929,7.903295993804932
0.0590,0.0010,-0.2629,0.9929,7.903295993804932
0.0590,0.0010,-0.2629,0.9929,7.903295993804932
0.0730,0.0000,-0.2658,0.9948,7.903295993804932
0.1050,0.0000,-0.2658,0.9948,7.903295993804932
0.1370,0.0000,-0.2961,0.9899,7.903295993804932
0.1560,0.0000,-0.2961,0.9899,7.903295993804932
0.2060,0.0000,-0.2961,0.9899,7.903295993804932
0.2060,0.0000,-0.2639,0.9938,7.903295993804932
0.2340,0.0000,-0.2639,0.9938,7.903295993804932
0.2550,0.0000,-0.2639,0.9938,7.903295993804932
0.2800,-0.0010,-0.2785,0.9929,7.903295993804932
0.3050,-0.0010,-0.2785,0.9929,7.903295993804932
0.3490,0.0000,-0.2824,0.9968,7.903295993804932
0.3560,0.0000,-0.2824,0.9968,7.903295993804932
0.4060,0.0000,-0.2824,0.9968,7.903295993804932
0.4170,0.0000,-0.2844,0.9919,7.903295993804932
0.4340,0.0000,-0.2844,0.9919,7.903295993804932
0.4560,0.0000,-0.2844,0.9919,7.903295993804932
0.4870,0.0000,-0.2981,0.9919,7.903295993804932
0.5060,0.0000,-0.2981,0.9919,7.903295993804932
0.5560,0.0000,-0.2981,0.9919,7.903295993804932
0.5560,0.0000,-0.2873,0.9938,7.903295993804932
0.6050,0.0000,-0.2873,0.9938,7.903295993804932
0.6280,0.0000,-0.2883,0.9938,7.903295993804932
0.6350,0.0000,-0.2883,0.9938,7.903295993804932
0.6560,0.0000,-0.2883,0.9938,7.903295993804932
0.6970,0.0000,-0.2863,0.9968,7.903295993804932
0.7060,0.0000,-0.2863,0.9968,7.903295993804932
0.7560,0.0000,-0.2863,0.9968,7.903295993804932
0.7670,0.0000,-0.2785,0.9938,7.903295993804932
0.8060,0.0000,-0.2785,0.9938,7.903295993804932
0.8340,0.0000,-0.2785,0.9938,7.903295993804932
0.8370,0.0000,-0.2922,0.9899,7.903295993804932
