time,AccelerometerX,AccelerometerY,AccelerometerZ,Light
0.0050,0.0831,0.9762,0.3577,0.0
0.0570,0.0919,0.9430,0.3196,0.0
0.0580,0.0919,0.9430,0.3196,0.0
0.1040,0.0919,0.9430,0.3196,0.0
0.1080,-0.0322,0.9880,0.3909,0.0
0.1550,-0.0322,0.9880,0.3909,0.0
0.1670,-0.0322,0.9880,0.3909,0.0
0.1800,0.1075,0.9166,0.3274,0.0
0.2060,0.1075,0.9166,0.3274,0.0
0.2480,0.0743,0.9557,0.3831,0.0
0.2560,0.0743,0.9557,0.3831,0.0
0.3060,0.0743,0.9557,0.3831,0.0
0.3190,0.0371,0.9577,0.3244,0.0
0.3560,0.0371,0.9577,0.3244,0.0
0.3670,0.0371,0.9577,0.3244,0.0
0.3880,-0.0068,0.9460,0.3420,0.0
0.4070,-0.0068,0.9460,0.3420,0.0
0.4590,-0.0098,0.9616,0.4007,0.0
0.4630,-0.0098,0.9616,0.4007,0.0
0.5310,0.0459,0.9557,0.3889,0.0
0.5570,0.0459,0.9557,0.3889,0.0
0.5670,0.0459,0.9557,0.3889,0.0
0.5980,0.0625,0.9616,0.4085,0.0
0.6070,0.0625,0.9616,0.4085,0.0
0.6570,0.0625,0.9616,0.4085,0.0
0.6680,0.0831,0.9792,0.3968,0.0
0.7070,0.0831,0.9792,0.3968,0.0
0.7380,0.0684,0.9772,0.3489,0.0
0.7570,0.0684,0.9772,0.3489,0.0
0.7670,0.0684,0.9772,0.3489,0.0
0.8080,0.0684,0.9772,0.3489,0.0
0.8080,0.0293,0.9743,0.3645,0.0
0.8570,0.0293,0.9743,0.3645,0.0
0.8780,0.0166,0.9987,0.3498,0.0
0.9070,0.0166,0.9987,0.3498,0.0
0.9480,0.0831,0.9811,0.2599,0.0
0.9570,0.0831,0.9811,0.2599,0.0
0.9670,0.0831,0.9811,0.2599,0.0
1.0070,0.0831,0.9811,0.2599,0.0
1.0180,0.1212,0.9831,0.2365,0.0
1.0670,0.1212,0.9831,0.2365,0.0
1.0880,0.0498,0.9450,0.2130,0.0
1.1080,0.0498,0.9450,0.2130,0.0
1.1600,0.2228,0.9811,0.0635,0.0
1.1600,0.2228,0.9811,0.0635,0.0
1.1670,0.2228,0.9811,0.0635,0.0
1.2080,0.2228,0.9811,0.0635,0.0
1.2280,0.1857,0.9166,0.0508,0.0
1.2580,0.1857,0.9166,0.0508,0.0
1.2980,0.4036,0.8551,-0.1182,0.0
1.3080,0.4036,0.8551,-0.1182,0.0
1.3570,0.4036,0.8551,-0.1182,0.0
1.3760,0.4036,0.8551,-0.1182,0.0
1.3770,0.3665,0.8306,-0.0137,0.0
1.4100,0.3665,0.8306,-0.0137,0.0
1.4380,0.4417,0.8795,-0.0264,0.0
1.4590,0.4417,0.8795,-0.0264,0.0
1.5090,0.6655,0.6811,-0.1915,0.0
1.5090,0.6655,0.6811,-0.1915,0.0
1.5590,0.6655,0.6811,-0.1915,0.0
1.5670,0.6655,0.6811,-0.1915,0.0
1.5780,0.6088,0.7007,-0.2599,0.0
1.6090,0.6088,0.7007,-0.2599,0.0
1.6480,0.5218,0.7544,0.0381,0.0
1.6590,0.5218,0.7544,0.0381,0.0
1.7090,0.5218,0.7544,0.0381,0.0
1.7180,0.6284,0.5971,-0.2101,0.0
1.7580,0.6284,0.5971,-0.2101,0.0
1.7670,0.6284,0.5971,-0.2101,0.0
1.7880,0.5297,0.5756,-0.2189,0.0
1.8090,0.5297,0.5756,-0.2189,0.0
1.8580,0.6743,0.3889,0.0801,0.0
