time,x,y,z
0.0620,0.1565,-0.0939,0.9229
0.1350,0.0626,-0.2034,1.0324
0.2200,0.0939,-0.2034,1.0480
0.2800,0.0783,-0.1408,0.9698
0.3420,0.0626,-0.0157,0.9385
0.4140,0.0626,-0.0313,0.9385
0.4880,0.0313,-0.0626,1.0324
0.5520,0.0470,-0.1095,0.9698
0.6220,0.1095,-0.1721,0.9542
0.6920,0.0313,0.0156,0.9385
0.7620,0.0001,-0.0939,0.9854
0.8320,0.0626,-0.2347,1.0167
0.9020,0.0783,-0.1721,1.0167
0.9950,0.0626,-0.0313,0.9072
1.0470,-0.0938,-0.0001,0.9072
1.1120,-0.0469,-0.1408,1.0324
1.1960,-0.0312,-0.1721,1.0167
1.2520,-0.0625,-0.1721,0.9542
1.3220,-0.0469,-0.1095,0.9072
1.4000,0.0001,-0.1408,0.9385
1.4870,0.0001,-0.1721,1.0167
1.5330,-0.0312,-0.2347,1.0480
1.6050,0.0157,-0.1878,1.0011
1.6910,0.0783,-0.1565,0.9072
1.7420,0.1095,-0.2347,0.9542
1.8120,0.0626,-0.1878,1.0167
1.8970,0.0001,-0.2034,1.0011
1.9520,0.0626,-0.1878,1.0011
2.0220,0.0626,-0.1878,0.9542
2.1070,0.1095,-0.2034,0.9542
2.1620,0.0783,-0.1721,0.9698
2.2320,0.0783,-0.1878,0.9698
2.3100,0.0470,-0.2190,0.9854
2.3720,0.0470,-0.2190,0.9854
2.4420,0.0626,-0.1878,0.9698
2.5120,0.0783,-0.2190,0.9854
2.5710,0.0313,-0.2034,0.9698
2.6520,0.0939,-0.1878,0.9698
2.7260,0.0470,-0.2034,0.9698
2.7960,0.0626,-0.2034,0.9698
2.8520,0.0470,-0.1878,0.9698
2.9320,0.0313,-0.1878,0.9542
3.0020,0.0626,-0.2190,0.9854
3.0720,0.0313,-0.2190,0.9854
3.1420,0.0626,-0.1878,0.9698
3.2260,0.0626,-0.1878,0.9698
3.2820,0.0626,-0.1565,0.9698
3.3630,0.0313,-0.1721,0.9698
3.4220,0.0157,-0.1878,0.9698
3.5100,0.0470,-0.2034,0.9854
3.5620,0.0470,-0.1878,0.9698
3.6220,0.0313,-0.1878,0.9698
3.7170,0.0470,-0.1878,0.9854
3.7620,0.0313,-0.1878,0.9542
3.8420,0.0313,-0.1878,0.9698
3.9210,0.0470,-0.1878,0.9854
3.9820,0.0313,-0.1878,0.9698
4.0530,0.0157,-0.1878,0.9854
4.1240,0.0313,-0.2034,0.9854
4.1820,0.0470,-0.1878,0.9698
4.2840,0.0313,-0.1721,0.9698
4.3420,0.0313,-0.1878,0.9698
4.4140,0.0157,-0.2190,0.9854
4.4760,0.0470,-0.1721,0.9698
4.5420,0.0470,-0.2034,0.9698
4.6150,0.0313,-0.2034,0.9698
4.6720,0.0313,-0.2034,0.9698
4.7670,0.0313,-0.1878,0.9854
4.8220,0.0313,-0.1878,0.9854
4.8920,0.0313,-0.1878,0.9698
4.9520,0.0470,-0.1878,0.9698
5.0330,0.0470,-0.2034,0.9854
5.0920,0.0157,-0.1878,0.9854
5.1620,0.0157,-0.1878,0.9698
5.2470,0.0313,-0.2034,0.9698
5.3190,0.0470,-0.2034,0.9854
5.3820,0.0470,-0.2034,0.9854
5.4650,0.0157,-0.1878,0.9698
5.5310,0.0313,-0.2034,0.9854
5.5920,0.0313,-0.1878,0.9854
5.6520,0.0157,-0.1878,0.9698
5.7440,0.0470,-0.2034,0.9698
5.8020,0.0313,-0.2034,0.9854
5.8720,0.0313,-0.1878,0.9854
5.9420,0.0470,-0.2034,0.9854
6.0470,0.0313,-0.1878,0.9698
6.0830,0.0313,-0.1878,0.9854
6.1530,0.0313,-0.1878,0.9698
6.2290,0.0470,-0.1878,0.9698
6.2920,0.0313,-0.2034,0.9854
6.3530,0.0313,-0.2034,0.9854
6.4340,0.0313,-0.1878,0.9698
6.5030,0.0157,-0.1878,0.9698
6.5730,0.0313,-0.2034,0.9854
6.6520,0.0157,-0.2190,0.9854
6.7120,0.0470,-0.1878,0.9698
6.7820,0.0313,-0.1878,0.9698
6.8620,0.0313,-0.1721,0.9698
6.9330,0.0157,-0.2190,0.9698
6.9820,0.0313,-0.1878,0.9854
7.0520,0.0470,-0.1721,0.9542
7.1380,0.0470,-0.1878,0.9698
7.1920,0.0313,-0.1878,0.9854
7.2740,0.0157,-0.1721,0.9698
7.3450,0.0313,-0.1878,0.9854
7.4400,0.0313,-0.1878,0.9698
7.4830,0.0313,-0.1878,0.9854
7.5520,0.0313,-0.2034,0.9854
7.6120,0.0313,-0.1878,0.9854
7.6920,0.0313,-0.1878,0.9698
7.7620,0.0313,-0.1878,0.9854
7.8520,0.0470,-0.1878,0.9698
7.9020,0.0313,-0.2034,0.9698
7.9730,0.0470,-0.2034,0.9854
8.0640,0.0313,-0.2034,0.9854
8.1120,0.0313,-0.1878,0.9542
8.1820,0.0313,-0.1878,0.9854
8.2540,0.0470,-0.1721,0.9698
8.3120,0.0313,-0.1878,0.9698
8.3930,0.0470,-0.2034,0.9854
8.4670,0.0313,-0.1565,0.9854
8.5600,0.0313,-0.1721,0.9698
8.5930,0.0313,-0.1721,1.0011
8.6720,0.0313,-0.2034,0.9698
8.7470,0.0313,-0.1878,0.9698
8.8120,0.0313,-0.1878,0.9854
8.8770,0.0470,-0.1878,0.9698
8.9560,0.0313,-0.1878,0.9854
9.0230,0.0157,-0.1878,0.9854
9.0920,0.0313,-0.2034,0.9854
9.1670,0.0313,-0.1878,0.9698
9.2610,0.0313,-0.1878,0.9698
9.3030,0.0157,-0.2034,0.9542
9.3730,0.0157,-0.2034,0.9698
9.4610,0.0313,-0.1565,1.0949
9.5030,0.1252,-0.0470,1.5485
9.5820,0.0626,0.7663,1.9239
9.6690,0.2190,0.7820,1.9239
9.7120,-0.1407,-0.4693,1.9239
9.7980,-0.2658,-0.4536,-0.2971
9.8630,-0.0312,-0.2347,-0.1407
9.9240,-0.0625,-0.1408,-0.0938
10.0030,-0.0312,-0.1095,-0.1094
10.0780,0.0157,-0.0626,-0.1094
10.1940,-0.0312,-0.0313,-0.0469
10.2210,-0.0312,-0.0470,-0.0312
10.2820,-0.0312,-0.0626,-0.0469
10.3700,-0.0625,-0.0783,-0.0625
10.4230,-0.0781,-0.0783,-0.0938
10.4930,-0.0625,-0.0939,-0.1407
10.5730,-0.0781,-0.1095,-0.2346
10.6330,-0.0625,-0.1095,-0.2815
10.7150,-0.7351,-0.0157,-0.6099
10.7800,0.0313,-0.1095,0.1721
10.8420,0.1095,-0.0470,-0.0156
10.9120,0.0470,0.4848,-1.0166
10.9820,0.2972,-0.1878,-0.7038
11.0910,-0.1251,0.0938,-1.4076
11.1270,0.1252,-0.2816,-0.9384
11.2010,-0.0156,-0.0939,-1.1104
11.2890,0.0157,-0.1095,-1.0010
