time,x,y,z
0.1920,0.0157,0.1094,0.9542
0.1940,-0.0156,0.1407,0.9698
0.1960,-0.0312,0.1563,0.9385
0.3130,-0.0156,0.1563,0.9542
0.3230,0.0001,0.1407,0.9542
0.4290,0.0001,0.1094,0.9854
0.5220,0.0157,0.0938,0.9385
0.5330,0.0157,0.1094,0.9229
0.6580,-0.0312,0.1094,1.0324
0.6810,-0.0156,0.1563,0.9854
0.7530,0.0001,0.1407,0.9698
0.8620,-0.0156,0.1251,0.9698
0.8870,0.0313,0.1094,0.9542
0.9620,0.0157,0.1094,0.9542
1.0740,0.0157,0.1094,0.9542
1.1540,0.0157,0.1094,0.9542
1.1630,0.0313,0.1094,0.9698
1.2510,0.0313,0.1251,0.9542
1.3330,0.0313,0.1251,0.9698
1.4310,0.0470,0.1094,0.9542
1.4570,0.0470,0.1094,0.9542
1.5410,0.0313,0.1251,0.9542
1.6380,0.0313,0.1094,0.9542
1.6600,0.0313,0.1094,0.9542
1.7360,0.0313,0.1251,0.9542
1.8420,0.0313,0.1251,0.9854
1.8690,0.0313,0.1407,0.9542
1.9440,0.0313,0.1251,0.9542
2.0460,0.0313,0.1407,0.9542
2.1270,0.0470,0.1094,0.9698
2.1450,0.0157,0.1251,0.9542
2.2250,0.0313,0.1251,0.9542
2.3150,0.0313,0.1251,0.9698
2.4140,0.0313,0.1251,0.9542
2.4300,0.0313,0.1251,0.9698
2.5100,0.0470,0.1407,0.9542
2.6540,0.0470,0.1251,0.9698
2.6660,0.0313,0.1251,0.9698
2.7030,0.0313,0.1094,0.9542
2.7860,0.0313,0.1251,0.9542
2.8830,0.0313,0.1251,0.9698
2.9960,0.0313,0.1094,0.9542
2.9990,0.0313,0.1094,0.9698
3.0540,0.0313,0.1251,0.9542
3.1570,0.0313,0.1094,0.9542
3.2500,0.0313,0.1251,0.9542
3.3740,0.0470,0.1251,0.9542
3.3760,0.0313,0.1251,0.9542
3.4760,0.0470,0.1407,0.9698
3.4780,0.0313,0.1251,0.9542
3.5720,0.0470,0.1251,0.9542
3.6530,0.0313,0.1251,0.9698
3.7780,0.0157,0.1094,0.9385
3.7800,0.0001,0.1094,0.8134
3.8310,-0.0156,-0.0470,0.0470
3.9380,-0.0312,-0.0626,0.0157
4.0700,-0.0312,-0.0626,0.0313
4.0750,-0.0156,-0.0626,0.0470
4.1590,-0.0469,-0.0001,0.1095
4.1730,0.0157,-0.0313,0.1408
4.2720,0.0626,-0.0626,0.1721
4.4080,0.1252,-0.0001,0.1721
4.4100,0.0470,0.1720,0.2190
4.5660,0.0157,0.2189,0.2347
4.5950,0.1878,-0.0939,0.2972
4.5970,0.1565,-0.1095,0.3285
4.7390,0.1252,-0.1408,0.3285
4.7420,1.4547,-0.5475,1.6111
4.8430,-0.7663,0.5474,0.5006
4.9310,1.5172,-0.7821,1.2983
4.9430,0.5788,-0.0626,1.0480
5.0660,0.1721,-0.0313,0.9229
5.1730,0.4693,-0.0939,0.7508
5.1750,0.4224,-0.1408,0.8290
5.2640,0.2972,-0.1565,0.8290
5.3600,0.4067,-0.0939,0.8447
5.3640,0.2972,-0.1408,0.9229
5.5030,0.3754,-0.2816,0.9072
5.5050,0.3129,-0.1721,0.9229
5.5910,0.3285,-0.1878,0.9072
5.7660,0.3598,-0.1878,0.9072
5.7730,0.3129,-0.2034,0.8916
5.9000,0.2816,-0.1721,0.8760
5.9020,0.3129,-0.1878,0.9072
5.9970,0.2972,-0.1721,0.9385
5.9990,0.3129,-0.1721,0.9229
6.0950,0.2660,-0.2190,0.9542
6.2080,0.2816,-0.1878,0.9542
6.2100,0.2972,-0.1721,0.9229
6.3110,0.2816,-0.1878,0.9229
6.4600,0.2660,-0.2034,0.9229
6.4620,0.2972,-0.1878,0.9229
6.5830,0.2816,-0.2034,0.9385
6.5850,0.2972,-0.1721,0.9229
6.7070,0.2816,-0.1878,0.9385
6.7100,0.2660,-0.1565,0.9385
6.8410,0.2972,-0.2034,0.9385
6.8430,0.2816,-0.1721,0.9385
6.9670,0.2660,-0.1878,0.9229
6.9740,0.2503,-0.1721,0.9385
7.0630,0.2660,-0.1878,0.9229
7.1630,0.2660,-0.1878,0.9542
7.2340,0.2660,-0.1721,0.9542
7.3210,0.2816,-0.1878,0.9385
7.3230,0.2660,-0.1721,0.9385
7.4070,0.2816,-0.1878,0.9229
