Instante(s),PosicaoAngular(graus)
0.0,0.0
0.049,11.546
0.129,30.397
0.246,57.966
0.318,74.931
0.348,82.0
0.434,102.265
0.512,120.644
0.549,129.362
0.646,152.219
0.689,162.351
0.761,179.317
0.861,202.88
0.944,222.437
1.043,245.765
1.869,440.398
1.871,440.869
1.873,441.34
1.878,442.519
1.88,442.99
1.882,443.461
1.884,443.932
1.886,444.404
1.887,444.639
1.889,445.111
1.891,445.582
1.893,446.053
1.896,446.76
1.981,466.789
2.019,475.743
2.091,492.708
2.159,508.732
2.256,531.588
2.343,552.088
2.369,558.214
2.45,577.301
2.545,599.686
2.579,607.697
2.649,624.192
2.737,644.927
2.79,657.416
2.868,675.795
2.939,692.525
3.051,718.916
3.078,725.278
3.163,745.307
3.263,768.87
3.292,775.704
3.364,792.669
3.471,817.882
3.499,824.48
3.584,844.508
3.679,866.894
3.688,869.014
3.768,887.865
3.866,910.957
3.898,918.497
3.978,937.348
4.061,956.905
4.161,980.469
4.188,986.831
4.26,1003.796
4.343,1023.354
4.388,1033.957
4.476,1054.693
4.56,1074.486
4.599,1083.676
4.682,1103.233
4.759,1121.377
4.86,1145.176
4.889,1152.009
4.969,1170.86
5.08,1197.015
5.1,1201.728
5.169,1217.987
5.269,1241.55
5.3,1248.855
5.383,1268.412
5.467,1288.205
5.508,1297.866
5.589,1316.952
5.675,1337.217
5.772,1360.073
5.809,1368.792
5.903,1390.941
5.987,1410.734
6.019,1418.275
6.089,1434.769
6.173,1454.562
6.285,1480.953
6.314,1487.786
6.387,1504.988
6.498,1531.143
6.526,1537.741
6.616,1558.948
6.707,1580.39
6.727,1585.103
6.808,1604.189
6.923,1631.287
6.946,1636.706
7.043,1659.563
7.122,1678.178
7.149,1684.54
7.218,1700.799
7.328,1726.718
7.358,1733.787
7.429,1750.517
7.517,1771.253
7.591,1788.69
7.639,1800.0
