Instante(s),Pos_x(m),Pos_y(m)
0.0,0.6,0.0
0.049,0.588,0.12
0.129,0.518,0.304
0.246,0.318,0.509
0.318,0.156,0.579
0.348,0.084,0.594
0.434,-0.127,0.586
0.512,-0.306,0.516
0.549,-0.381,0.464
0.646,-0.531,0.28
0.689,-0.572,0.182
0.761,-0.6,0.007
0.861,-0.553,-0.233
0.944,-0.443,-0.405
1.043,-0.246,-0.547
1.869,0.1,0.592
1.871,0.095,0.592
1.873,0.09,0.593
1.878,0.078,0.595
1.88,0.073,0.596
1.882,0.068,0.596
1.884,0.063,0.597
1.886,0.059,0.597
1.887,0.056,0.597
1.889,0.051,0.598
1.891,0.046,0.598
1.893,0.041,0.599
1.896,0.034,0.599
1.981,-0.173,0.574
2.019,-0.261,0.54
2.091,-0.407,0.441
2.159,-0.513,0.311
2.256,-0.594,0.088
2.343,-0.587,-0.126
2.369,-0.57,-0.188
2.45,-0.477,-0.364
2.545,-0.303,-0.518
2.579,-0.228,-0.555
2.649,-0.061,-0.597
2.737,0.155,-0.58
2.79,0.276,-0.533
2.868,0.43,-0.418
2.939,0.532,-0.277
3.051,0.6,-0.011
3.078,0.597,0.055
3.163,0.542,0.256
3.263,0.395,0.452
3.292,0.338,0.496
3.364,0.179,0.573
3.471,-0.082,0.594
3.499,-0.15,0.581
3.584,-0.34,0.494
3.679,-0.503,0.328
3.688,-0.514,0.309
3.768,-0.587,0.126
3.866,-0.589,-0.114
3.898,-0.569,-0.19
3.978,-0.477,-0.364
4.061,-0.328,-0.503
4.161,-0.099,-0.592
4.188,-0.033,-0.599
4.26,0.143,-0.583
4.343,0.33,-0.501
4.388,0.416,-0.432
4.476,0.542,-0.256
4.56,0.597,-0.058
4.599,0.599,0.038
4.682,0.551,0.237
4.759,0.45,0.397
4.86,0.252,0.545
4.889,0.185,0.571
4.969,-0.009,0.6
5.08,-0.273,0.535
5.1,-0.316,0.51
5.169,-0.446,0.402
5.269,-0.569,0.19
5.3,-0.589,0.116
5.383,-0.594,-0.088
5.467,-0.529,-0.284
5.508,-0.474,-0.368
5.589,-0.327,-0.503
5.675,-0.133,-0.585
5.772,0.105,-0.591
5.809,0.193,-0.568
5.903,0.393,-0.453
5.987,0.523,-0.293
6.019,0.557,-0.222
6.089,0.598,-0.055
6.173,0.581,0.151
6.285,0.453,0.393
6.314,0.403,0.444
6.387,0.254,0.544
6.498,-0.012,0.6
6.526,-0.081,0.595
6.616,-0.29,0.525
6.707,-0.462,0.383
6.727,-0.492,0.343
6.808,-0.577,0.163
6.923,-0.588,-0.117
6.946,-0.575,-0.172
7.043,-0.463,-0.382
7.122,-0.316,-0.51
7.149,-0.258,-0.542
7.218,-0.096,-0.592
7.328,0.173,-0.575
7.358,0.242,-0.549
7.429,0.39,-0.456
7.517,0.526,-0.289
7.591,0.588,-0.118
7.639,0.6,-0.0
