Instante(s),Pos_ang(rad),Pos_x(m),Pos_y(m)
0.049,0.202,0.588,0.12
0.129,0.531,0.518,0.304
0.246,1.012,0.318,0.509
0.318,1.308,0.156,0.579
0.348,1.431,0.084,0.594
0.434,1.785,-0.127,0.586
0.512,2.106,-0.306,0.516
0.549,2.258,-0.381,0.464
0.646,2.657,-0.531,0.28
0.689,2.834,-0.572,0.182
0.761,3.13,-0.6,0.007
0.861,3.541,-0.553,-0.233
0.944,3.882,-0.443,-0.405
1.043,4.289,-0.246,-0.547
1.869,7.686,0.1,0.592
1.871,7.695,0.095,0.592
1.873,7.703,0.09,0.593
1.878,7.723,0.078,0.595
1.88,7.732,0.073,0.596
1.882,7.74,0.068,0.596
1.884,7.748,0.063,0.597
1.886,7.756,0.059,0.597
1.887,7.76,0.056,0.597
1.889,7.769,0.051,0.598
1.891,7.777,0.046,0.598
1.893,7.785,0.041,0.599
1.896,7.797,0.034,0.599
1.981,8.147,-0.173,0.574
2.019,8.303,-0.261,0.54
2.091,8.599,-0.407,0.441
2.159,8.879,-0.513,0.311
2.256,9.278,-0.594,0.088
2.343,9.636,-0.587,-0.126
2.369,9.743,-0.57,-0.188
2.45,10.076,-0.477,-0.364
2.545,10.466,-0.303,-0.518
2.579,10.606,-0.228,-0.555
2.649,10.894,-0.061,-0.597
2.737,11.256,0.155,-0.58
2.79,11.474,0.276,-0.533
2.868,11.795,0.43,-0.418
2.939,12.087,0.532,-0.277
3.051,12.547,0.6,-0.011
3.078,12.658,0.597,0.055
3.163,13.008,0.542,0.256
3.263,13.419,0.395,0.452
3.292,13.539,0.338,0.496
3.364,13.835,0.179,0.573
3.471,14.275,-0.082,0.594
3.499,14.39,-0.15,0.581
3.584,14.739,-0.34,0.494
3.679,15.13,-0.503,0.328
3.688,15.167,-0.514,0.309
3.768,15.496,-0.587,0.126
3.866,15.899,-0.589,-0.114
3.898,16.031,-0.569,-0.19
3.978,16.36,-0.477,-0.364
4.061,16.701,-0.328,-0.503
4.161,17.112,-0.099,-0.592
4.188,17.223,-0.033,-0.599
4.26,17.52,0.143,-0.583
4.343,17.861,0.33,-0.501
4.388,18.046,0.416,-0.432
4.476,18.408,0.542,-0.256
4.56,18.753,0.597,-0.058
4.599,18.914,0.599,0.038
4.682,19.255,0.551,0.237
4.759,19.572,0.45,0.397
4.86,19.987,0.252,0.545
4.889,20.106,0.185,0.571
4.969,20.435,-0.009,0.6
5.08,20.892,-0.273,0.535
5.1,20.974,-0.316,0.51
5.169,21.258,-0.446,0.402
5.269,21.669,-0.569,0.19
5.3,21.797,-0.589,0.116
5.383,22.138,-0.594,-0.088
5.467,22.483,-0.529,-0.284
5.508,22.652,-0.474,-0.368
5.589,22.985,-0.327,-0.503
5.675,23.339,-0.133,-0.585
5.772,23.738,0.105,-0.591
5.809,23.89,0.193,-0.568
5.903,24.277,0.393,-0.453
5.987,24.622,0.523,-0.293
6.019,24.754,0.557,-0.222
6.089,25.041,0.598,-0.055
6.173,25.387,0.581,0.151
6.285,25.848,0.453,0.393
6.314,25.967,0.403,0.444
6.387,26.267,0.254,0.544
6.498,26.723,-0.012,0.6
6.526,26.839,-0.081,0.595
6.616,27.209,-0.29,0.525
6.707,27.583,-0.462,0.383
6.727,27.665,-0.492,0.343
6.808,27.998,-0.577,0.163
6.923,28.471,-0.588,-0.117
6.946,28.566,-0.575,-0.172
7.043,28.965,-0.463,-0.382
7.122,29.29,-0.316,-0.51
7.149,29.401,-0.258,-0.542
7.218,29.685,-0.096,-0.592
7.328,30.137,0.173,-0.575
7.358,30.26,0.242,-0.549
7.429,30.552,0.39,-0.456
7.517,30.914,0.526,-0.289
7.591,31.219,0.588,-0.118
7.639,31.416,0.6,-0.0
