Instante(s),Pos_x(m),Pos_y(m)
0.0,0.6,0.0
0.07,0.0,0.238
0.141,0.0,0.479
0.223,-0.556,0.159
0.271,-0.558,0.324
0.351,-0.405,0.004
0.446,-0.289,0.342
0.491,-0.508,0.507
0.561,-0.513,0.169
0.631,-0.246,0.44
0.734,-0.182,0.251
0.761,-0.31,0.365
0.841,-0.419,0.107
0.9,-0.515,0.372
0.971,-0.216,0.103
1.051,-0.195,0.493
1.144,-0.014,0.371
1.19,-0.529,0.022
1.27,-0.297,0.474
1.345,-0.113,0.322
1.4,-0.177,0.068
1.481,-0.046,0.599
1.569,-0.185,0.009
1.636,-0.275,0.503
1.691,-0.485,0.328
1.761,-0.505,0.291
1.851,-0.552,0.45
1.901,-0.107,0.299
1.981,-0.381,0.443
2.047,-0.459,0.49
2.152,-0.474,0.366
2.18,-0.52,0.074
2.26,-0.51,0.369
2.356,-0.104,0.3
2.391,-0.469,0.138
2.463,-0.045,0.459
2.566,-0.002,0.037
2.601,-0.434,0.536
2.67,-0.111,0.34
2.762,-0.019,0.534
2.812,-0.202,0.134
2.88,-0.133,0.053
2.952,-0.03,0.085
3.056,-0.525,0.138
3.091,-0.136,0.198
3.167,-0.33,0.458
3.263,-0.142,0.58
3.301,-0.563,0.18
3.37,-0.275,0.462
3.471,-0.526,0.308
3.511,-0.234,0.044
3.581,-0.039,0.516
3.662,-0.451,0.117
3.72,-0.113,0.407
3.791,-0.322,0.482
3.874,-0.277,0.349
3.97,-0.274,0.074
4.002,-0.415,0.422
4.07,-0.258,0.067
4.174,-0.162,0.291
4.21,-0.541,0.259
4.305,-0.11,0.389
4.377,-0.584,0.459
4.42,-0.38,0.179
4.49,-0.3,0.299
4.587,-0.11,0.293
4.632,-0.236,0.226
4.701,-0.345,0.533
4.782,-0.441,0.198
4.831,-0.167,0.437
4.926,-0.5,0.265
5.017,-0.021,0.066
5.051,-0.328,0.412
5.154,-0.46,0.357
5.191,-0.263,0.326
5.315,-0.022,0.338
5.356,-0.282,0.015
5.404,-0.282,0.082
5.494,-0.358,0.587
5.6,-0.213,0.304
5.61,-0.362,0.263
5.712,-0.2,0.585
5.802,-0.021,0.408
5.822,-0.442,0.404
5.89,-0.035,0.296
5.962,-0.263,0.526
6.056,-0.321,0.445
6.12,-0.22,0.396
6.222,-0.371,0.547
6.247,-0.434,0.455
6.331,-0.442,0.237
6.381,-0.467,0.168
6.45,-0.342,0.314
6.551,-0.004,0.506
6.581,-0.384,0.368
6.66,-0.468,0.377
