Instante(s),Pos_ang(rad),Pos_x(m),Pos_y(m)
0.0,0.0,0.6,0.0
0.07,0.307,0.572,0.182
0.145,0.637,0.482,0.357
0.24,1.054,0.296,0.522
0.28,1.23,0.201,0.565
0.374,1.643,-0.043,0.598
0.419,1.841,-0.16,0.578
0.491,2.157,-0.332,0.5
0.56,2.46,-0.466,0.378
0.657,2.886,-0.58,0.152
0.699,3.07,-0.598,0.043
0.8,3.514,-0.559,-0.218
0.865,3.8,-0.475,-0.367
0.913,4.01,-0.387,-0.458
0.989,4.344,-0.216,-0.56
1.078,4.735,0.014,-0.6
1.126,4.946,0.139,-0.584
1.204,5.289,0.327,-0.503
1.268,5.57,0.454,-0.393
1.329,5.838,0.541,-0.258
1.399,6.145,0.594,-0.082
1.497,6.576,0.575,0.173
1.539,6.76,0.533,0.275
1.609,7.068,0.425,0.424
1.679,7.375,0.276,0.533
1.774,7.792,0.037,0.599
1.819,7.99,-0.081,0.594
1.889,8.298,-0.258,0.542
1.977,8.684,-0.443,0.405
2.03,8.917,-0.524,0.292
2.104,9.242,-0.59,0.109
2.194,9.637,-0.586,-0.127
2.271,9.976,-0.511,-0.314
2.309,10.143,-0.452,-0.395
2.385,10.476,-0.298,-0.521
2.481,10.898,-0.058,-0.597
2.519,11.065,0.042,-0.599
2.589,11.372,0.221,-0.558
2.71,11.904,0.473,-0.369
2.739,12.031,0.516,-0.306
2.801,12.304,0.579,-0.156
2.886,12.677,0.596,0.066
2.939,12.91,0.565,0.202
3.023,13.279,0.454,0.392
3.092,13.582,0.316,0.51
3.177,13.955,0.109,0.59
3.219,14.14,-0.002,0.6
3.313,14.553,-0.242,0.549
3.381,14.851,-0.393,0.453
3.431,15.071,-0.482,0.357
3.506,15.4,-0.572,0.182
3.591,15.774,-0.599,-0.04
3.639,15.985,-0.577,-0.164
3.709,16.292,-0.5,-0.331
3.781,16.608,-0.373,-0.47
3.839,16.863,-0.242,-0.549
3.929,17.259,-0.012,-0.6
4.009,17.61,0.195,-0.567
4.096,17.992,0.393,-0.454
4.129,18.137,0.454,-0.392
4.211,18.497,0.563,-0.207
4.294,18.862,0.6,0.007
4.34,19.064,0.586,0.128
4.424,19.433,0.501,0.33
4.539,19.938,0.278,0.532
4.561,20.035,0.226,0.556
4.628,20.329,0.055,0.597
4.705,20.667,-0.147,0.582
4.819,21.168,-0.408,0.44
4.829,21.212,-0.427,0.422
4.909,21.563,-0.546,0.249
5.003,21.976,-0.6,0.009
5.039,22.134,-0.594,-0.086
5.114,22.464,-0.534,-0.273
5.215,22.907,-0.365,-0.476
5.249,23.057,-0.29,-0.525
5.321,23.373,-0.113,-0.589
5.432,23.861,0.177,-0.573
5.459,23.979,0.243,-0.549
5.539,24.331,0.417,-0.431
5.617,24.673,0.538,-0.266
5.659,24.858,0.577,-0.163
5.766,25.328,0.589,0.116
6.631,29.127,-0.395,-0.452
6.635,29.145,-0.387,-0.459
6.637,29.154,-0.383,-0.462
6.639,29.163,-0.378,-0.466
6.64,29.167,-0.376,-0.467
6.643,29.18,-0.37,-0.472
6.645,29.189,-0.366,-0.475
6.647,29.198,-0.362,-0.479
6.648,29.202,-0.36,-0.48
6.65,29.211,-0.356,-0.483
6.652,29.22,-0.351,-0.486
6.654,29.228,-0.347,-0.489
6.668,29.29,-0.316,-0.51
6.743,29.619,-0.134,-0.585
6.814,29.931,0.052,-0.598
6.891,30.269,0.247,-0.547
6.986,30.687,0.447,-0.4
7.017,30.823,0.498,-0.335
7.079,31.095,0.569,-0.189
7.152,31.416,0.6,0.0
