Instante(s),Pos_x(m)
0.0,0.0
0.02,0.049
0.049,0.121
0.071,0.175
0.124,0.307
0.125,0.309
0.175,0.433
0.189,0.467
0.2,0.494
0.226,0.559
0.259,0.64
0.329,0.813
0.33,0.816
0.379,0.937
0.401,0.991
0.402,0.994
0.431,1.065
0.47,1.162
0.482,1.191
0.539,1.332
0.582,1.439
0.602,1.488
0.608,1.503
0.635,1.57
0.679,1.678
0.683,1.688
0.737,1.822
0.749,1.851
0.789,1.95
0.804,1.987
0.819,2.024
0.838,2.071
0.888,2.195
0.889,2.197
0.942,2.328
0.959,2.37
0.99,2.447
1.003,2.479
1.03,2.546
1.042,2.576
1.092,2.699
1.098,2.714
1.146,2.833
1.169,2.89
1.194,2.951
1.196,2.956
1.238,3.06
1.243,3.072
1.298,3.208
1.309,3.236
1.349,3.334
1.38,3.411
1.406,3.475
1.406,3.475
1.452,3.589
1.503,3.715
1.518,3.752
1.553,3.839
1.589,3.928
1.596,3.945
1.603,3.962
1.653,4.086
1.658,4.098
1.707,4.219
1.73,4.276
1.758,4.345
1.8,4.449
1.8,4.449
1.883,4.654
1.883,4.654
1.908,4.716
1.939,4.793
1.96,4.845
2.002,4.949
2.01,4.968
2.01,4.968
2.06,5.092
2.08,5.141
2.114,5.225
2.148,5.309
2.162,5.344
2.204,5.448
2.212,5.468
2.218,5.482
2.266,5.601
2.29,5.66
2.359,5.831
2.366,5.848
2.401,5.935
2.418,5.977
2.429,6.004
2.47,6.105
2.5,6.179
2.522,6.234
2.571,6.355
2.572,6.357
2.602,6.432
2.625,6.488
2.639,6.523
2.677,6.617
2.709,6.696
2.728,6.743
2.782,6.877
2.782,6.877
2.802,6.926
2.832,7.0
2.848,7.04
2.919,7.215
2.935,7.255
2.988,7.386
2.998,7.41
3.037,7.507
3.06,7.564
3.089,7.635
3.129,7.734
3.139,7.759
3.191,7.887
3.199,7.907
3.2,7.91
3.243,8.016
3.269,8.08
3.295,8.145
3.338,8.251
3.345,8.268
3.402,8.409
3.408,8.424
3.447,8.52
3.478,8.597
3.499,8.649
3.552,8.78
3.553,8.782
3.599,8.896
3.617,8.94
3.648,9.017
3.688,9.116
3.702,9.151
3.75,9.269
3.758,9.289
3.797,9.385
3.797,9.385
3.827,9.46
3.853,9.524
3.898,9.635
3.898,9.635
3.952,9.769
3.968,9.808
4.003,9.895
4.003,9.895
4.039,9.984
4.052,10.016
4.102,10.139
4.108,10.154
4.153,10.265
4.179,10.33
4.198,10.377
4.251,10.508
4.252,10.51
4.305,10.641
4.319,10.676
4.356,10.767
4.39,10.851
4.398,10.871
4.406,10.891
4.456,11.014
4.457,11.017
4.508,11.143
4.529,11.195
4.56,11.271
4.642,11.474
4.643,11.477
4.661,11.521
4.667,11.536
4.711,11.645
4.74,11.716
4.762,11.771
4.8,11.865
4.807,11.882
4.859,12.01
4.88,12.062
4.912,12.141
4.95,12.235
4.962,12.265
5.003,12.366
5.013,12.391
5.018,12.403
5.065,12.52
5.09,12.581
5.117,12.648
5.16,12.754
5.205,12.866
5.218,12.898
5.229,12.925
5.27,13.026
5.3,13.1
5.322,13.155
5.374,13.283
5.374,13.283
5.401,13.35
5.422,13.402
5.439,13.444
5.474,13.531
5.509,13.617
5.525,13.657
5.579,13.79
5.579,13.79
5.596,13.832
5.63,13.916
5.65,13.966
5.682,14.045
5.719,14.136
5.733,14.171
5.786,14.302
5.797,14.329
5.829,14.408
5.856,14.475
5.879,14.532
5.926,14.648
5.929,14.655
5.981,14.784
5.999,14.828
5.999,14.828
6.033,14.912
6.069,15.001
6.088,15.048
6.14,15.177
6.14,15.177
6.19,15.3
6.2,15.325
6.208,15.345
6.242,15.429
6.28,15.523
6.293,15.555
6.343,15.679
6.348,15.691
6.4,15.819
6.4,15.819
6.418,15.864
6.449,15.941
6.49,16.042
6.5,16.067
6.551,16.193
6.558,16.21
6.605,16.326
6.605,16.326
6.629,16.386
6.701,16.563
6.702,16.566
6.755,16.697
6.768,16.729
6.796,16.798
6.837,16.9
6.852,16.937
6.906,17.07
6.907,17.073
6.956,17.194
6.979,17.251
7.0,17.303
7.006,17.317
7.048,17.421
7.105,17.562
7.119,17.597
7.157,17.691
7.188,17.767
7.2,17.797
7.205,17.809
7.257,17.938
7.257,17.938
7.311,18.071
7.393,18.274
7.399,18.289
7.4,18.291
7.411,18.318
7.461,18.442
7.468,18.459
7.512,18.568
7.539,18.635
7.565,18.699
7.602,18.791
7.607,18.803
7.615,18.823
7.679,18.981
7.715,19.07
7.75,19.156
7.766,19.196
7.805,19.292
7.818,19.324
7.872,19.458
7.889,19.5
7.916,19.567
7.959,19.673
7.969,19.698
8.003,19.782
8.018,19.819
8.029,19.846
8.069,19.945
8.098,20.017
8.119,20.068
8.172,20.199
8.172,20.199
8.204,20.279
8.221,20.321
8.239,20.365
8.273,20.449
8.31,20.541
8.322,20.57
8.372,20.694
8.378,20.709
8.402,20.768
8.425,20.825
8.45,20.887
8.475,20.948
8.519,21.057
8.577,21.201
8.589,21.23
8.603,21.265
8.628,21.327
8.66,21.406
8.68,21.455
8.732,21.584
8.733,21.586
8.783,21.71
8.799,21.749
