Instante(s),Pos_x(m)
0.0,0.0
0.02,0.0
0.049,0.0
0.071,0.0
0.124,0.0
0.125,0.0
0.175,0.0
0.189,0.001
0.2,0.001
0.226,0.001
0.259,0.001
0.329,0.002
0.33,0.002
0.379,0.002
0.401,0.003
0.402,0.003
0.431,0.003
0.47,0.004
0.482,0.004
0.539,0.005
0.582,0.006
0.602,0.007
0.608,0.007
0.635,0.007
0.679,0.008
0.683,0.009
0.737,0.01
0.749,0.01
0.789,0.011
0.804,0.012
0.819,0.012
0.838,0.013
0.888,0.015
0.889,0.015
0.942,0.016
0.959,0.017
0.99,0.018
1.003,0.019
1.03,0.02
1.042,0.02
1.092,0.022
1.098,0.023
1.146,0.025
1.169,0.026
1.194,0.027
1.196,0.027
1.238,0.029
1.243,0.029
1.298,0.032
1.309,0.032
1.349,0.034
1.38,0.036
1.406,0.037
1.406,0.037
1.452,0.04
1.503,0.043
1.518,0.043
1.553,0.046
1.589,0.048
1.596,0.048
1.603,0.049
1.653,0.052
1.658,0.052
1.707,0.055
1.73,0.057
1.758,0.059
1.8,0.061
1.8,0.061
1.883,0.067
1.883,0.067
1.908,0.069
1.939,0.071
1.96,0.073
2.002,0.076
2.01,0.077
2.01,0.077
2.06,0.081
2.08,0.082
2.114,0.085
2.148,0.088
2.162,0.089
2.204,0.092
2.212,0.093
2.218,0.094
2.266,0.098
2.29,0.1
2.359,0.106
2.366,0.107
2.401,0.11
2.418,0.111
2.429,0.112
2.47,0.116
2.5,0.119
2.522,0.121
2.571,0.126
2.572,0.126
2.602,0.129
2.625,0.131
2.639,0.133
2.677,0.137
2.709,0.14
2.728,0.142
2.782,0.148
2.782,0.148
2.802,0.15
2.832,0.153
2.848,0.155
2.919,0.163
2.935,0.165
2.988,0.171
2.998,0.172
3.037,0.176
3.06,0.179
3.089,0.182
3.129,0.187
3.139,0.188
3.191,0.195
3.199,0.196
3.2,0.196
3.243,0.201
3.269,0.205
3.295,0.208
3.338,0.213
3.345,0.214
3.402,0.222
3.408,0.222
3.447,0.228
3.478,0.232
3.499,0.235
3.552,0.242
3.553,0.242
3.599,0.248
3.617,0.251
3.648,0.255
3.688,0.261
3.702,0.263
3.75,0.27
3.758,0.271
3.797,0.276
3.797,0.276
3.827,0.281
3.853,0.285
3.898,0.291
3.898,0.291
3.952,0.3
3.968,0.302
4.003,0.307
4.003,0.307
4.039,0.313
4.052,0.315
4.102,0.323
4.108,0.324
4.153,0.331
4.179,0.335
4.198,0.338
4.251,0.347
4.252,0.347
4.305,0.356
4.319,0.358
4.356,0.364
4.39,0.37
4.398,0.371
4.406,0.373
4.456,0.381
4.457,0.381
4.508,0.39
4.529,0.394
4.56,0.399
4.642,0.414
4.643,0.414
4.661,0.417
4.667,0.418
4.711,0.426
4.74,0.432
4.762,0.436
4.8,0.443
4.807,0.444
4.859,0.454
4.88,0.458
4.912,0.464
4.95,0.471
4.962,0.473
5.003,0.481
5.013,0.483
5.018,0.484
5.065,0.493
5.09,0.498
5.117,0.503
5.16,0.512
5.205,0.521
5.218,0.523
5.229,0.526
5.27,0.534
5.3,0.54
5.322,0.545
5.374,0.555
5.374,0.555
5.401,0.561
5.422,0.565
5.439,0.569
5.474,0.576
5.509,0.584
5.525,0.587
5.579,0.599
5.579,0.599
5.596,0.602
5.63,0.61
5.65,0.614
5.682,0.621
5.719,0.629
5.733,0.632
5.786,0.644
5.797,0.647
5.829,0.654
5.856,0.66
5.879,0.665
5.926,0.676
5.929,0.677
5.981,0.688
5.999,0.693
5.999,0.693
6.033,0.701
6.069,0.709
6.088,0.713
6.14,0.726
6.14,0.726
6.19,0.738
6.2,0.74
6.208,0.742
6.242,0.75
6.28,0.759
6.293,0.762
6.343,0.775
6.348,0.776
6.4,0.789
6.4,0.789
6.418,0.793
6.449,0.801
6.49,0.811
6.5,0.814
6.551,0.826
6.558,0.828
6.605,0.84
6.605,0.84
6.629,0.846
6.701,0.865
6.702,0.865
6.755,0.879
6.768,0.882
6.796,0.89
6.837,0.9
6.852,0.904
6.906,0.919
6.907,0.919
6.956,0.932
6.979,0.938
7.0,0.944
7.006,0.946
7.048,0.957
7.105,0.973
7.119,0.976
7.157,0.987
7.188,0.995
7.2,0.999
7.205,1.0
7.257,1.015
7.257,1.015
7.311,1.03
7.393,1.053
7.399,1.055
7.4,1.055
7.411,1.058
7.461,1.073
7.468,1.075
7.512,1.087
7.539,1.095
7.565,1.103
7.602,1.114
7.607,1.115
7.615,1.118
7.679,1.136
7.715,1.147
7.75,1.158
7.766,1.162
7.805,1.174
7.818,1.178
7.872,1.194
7.889,1.2
7.916,1.208
7.959,1.221
7.969,1.224
8.003,1.235
8.018,1.239
8.029,1.243
8.069,1.255
8.098,1.264
8.119,1.271
8.172,1.288
8.172,1.288
8.204,1.298
8.221,1.303
8.239,1.309
8.273,1.32
8.31,1.331
8.322,1.335
8.372,1.351
8.378,1.353
8.402,1.361
8.425,1.369
8.45,1.377
8.475,1.385
8.519,1.4
8.577,1.419
8.589,1.423
8.603,1.427
8.628,1.436
8.66,1.446
8.68,1.453
8.732,1.471
8.733,1.471
8.783,1.488
8.799,1.493
