Instante(s),Pos_x(m)
0.001,0.0
0.001,0.0
0.001,0.0
0.037,0.0
0.053,0.0
0.124,0.001
0.137,0.001
0.188,0.001
0.193,0.001
0.201,0.002
0.238,0.002
0.264,0.003
0.288,0.003
0.334,0.004
0.34,0.004
0.387,0.005
0.401,0.006
0.403,0.006
0.438,0.007
0.473,0.008
0.489,0.008
0.539,0.01
0.543,0.01
0.589,0.012
0.601,0.012
0.613,0.013
0.639,0.014
0.684,0.016
0.688,0.016
0.738,0.018
0.753,0.019
0.788,0.021
0.87,0.025
0.87,0.025
0.871,0.025
0.889,0.026
0.893,0.026
0.94,0.029
0.964,0.031
0.99,0.032
1.001,0.033
1.033,0.035
1.04,0.036
1.09,0.039
1.104,0.04
1.139,0.043
1.174,0.045
1.189,0.046
1.201,0.047
1.239,0.05
1.244,0.051
1.29,0.054
1.313,0.056
1.341,0.059
1.384,0.062
1.391,0.063
1.401,0.064
1.441,0.067
1.454,0.069
1.49,0.072
1.524,0.075
1.54,0.077
1.59,0.082
1.594,0.082
1.601,0.083
1.641,0.087
1.664,0.09
1.692,0.093
1.733,0.097
1.742,0.098
1.792,0.104
1.801,0.105
1.803,0.105
1.841,0.109
1.874,0.113
1.891,0.115
1.941,0.122
1.944,0.122
1.992,0.128
2.001,0.129
2.014,0.131
2.043,0.134
2.084,0.14
2.093,0.141
2.143,0.148
2.154,0.149
2.193,0.155
2.201,0.156
2.223,0.159
2.242,0.162
2.297,0.17
2.297,0.17
2.343,0.176
2.363,0.179
2.393,0.184
2.401,0.185
2.433,0.19
2.444,0.192
2.494,0.2
2.555,0.21
2.556,0.21
2.573,0.213
2.595,0.216
2.601,0.217
2.643,0.224
2.646,0.225
2.696,0.233
2.713,0.236
2.747,0.242
2.783,0.248
2.796,0.251
2.803,0.252
2.846,0.26
2.854,0.261
2.896,0.269
2.924,0.274
2.946,0.278
2.994,0.287
2.996,0.288
3.001,0.288
3.045,0.297
3.064,0.301
3.134,0.314
3.146,0.317
3.196,0.327
3.201,0.328
3.203,0.328
3.246,0.337
3.274,0.343
3.296,0.348
3.344,0.358
3.406,0.371
3.406,0.371
3.407,0.371
3.413,0.373
3.445,0.38
3.484,0.388
3.496,0.391
3.547,0.402
3.554,0.404
3.597,0.414
3.601,0.415
3.624,0.42
3.647,0.425
3.694,0.436
3.697,0.437
3.746,0.448
3.763,0.452
3.796,0.46
3.801,0.462
3.834,0.47
3.846,0.473
3.897,0.485
3.904,0.487
3.948,0.498
3.974,0.504
3.998,0.51
4.001,0.511
4.044,0.522
4.048,0.523
4.097,0.536
4.114,0.54
4.147,0.549
4.184,0.559
4.197,0.562
4.201,0.563
4.248,0.576
4.254,0.578
4.299,0.59
4.324,0.597
4.349,0.604
4.394,0.616
4.399,0.617
4.402,0.618
4.449,0.631
4.464,0.636
4.498,0.645
4.534,0.656
4.548,0.66
4.6,0.675
4.603,0.676
4.603,0.676
4.65,0.69
4.674,0.697
4.7,0.704
4.744,0.718
4.749,0.719
4.8,0.735
4.803,0.735
4.813,0.739
4.85,0.75
4.884,0.76
4.9,0.765
4.949,0.781
4.954,0.782
5.0,0.797
5.003,0.798
5.024,0.804
5.05,0.813
5.132,0.839
5.133,0.84
5.149,0.845
5.163,0.849
5.2,0.862
5.203,0.863
5.233,0.873
5.25,0.878
5.3,0.895
5.304,0.896
5.35,0.912
5.374,0.92
5.4,0.929
5.403,0.93
5.444,0.944
5.45,0.946
5.5,0.964
5.513,0.968
5.55,0.981
5.584,0.993
5.6,0.999
5.603,1.0
5.65,1.017
5.654,1.018
5.701,1.035
5.723,1.043
5.751,1.053
5.793,1.068
5.802,1.072
5.803,1.072
5.85,1.09
5.864,1.095
5.9,1.108
5.986,1.141
5.986,1.141
6.001,1.146
6.002,1.147
6.004,1.148
6.053,1.166
6.074,1.174
6.144,1.202
6.153,1.205
6.201,1.224
6.204,1.225
6.214,1.229
6.253,1.244
6.284,1.257
6.303,1.264
6.353,1.284
6.353,1.284
6.401,1.304
6.404,1.305
6.423,1.313
6.453,1.325
6.494,1.342
6.502,1.345
6.553,1.366
6.563,1.371
6.601,1.386
6.603,1.387
6.633,1.4
6.653,1.408
6.703,1.429
6.703,1.429
6.753,1.451
6.773,1.459
6.801,1.471
6.803,1.472
6.844,1.49
6.853,1.494
6.902,1.515
6.913,1.52
6.952,1.537
6.983,1.551
7.001,1.559
7.004,1.56
7.053,1.582
7.054,1.583
7.103,1.605
7.124,1.614
7.153,1.627
7.194,1.646
7.201,1.649
7.203,1.65
7.253,1.673
7.263,1.677
7.303,1.696
7.334,1.71
7.353,1.719
7.401,1.742
7.404,1.743
7.405,1.744
7.453,1.766
7.474,1.776
7.505,1.791
7.544,1.809
7.553,1.814
7.601,1.837
7.603,1.838
7.613,1.843
7.674,1.872
7.683,1.877
7.704,1.887
7.753,1.911
7.754,1.911
7.801,1.934
7.804,1.936
7.823,1.945
7.853,1.96
7.894,1.981
7.903,1.985
7.952,2.01
