Instante(s),Pos_ang(rad),Pos_x(m),Pos_y(m)
0.049,0.049,0.699,0.034
0.129,0.129,0.694,0.09
0.246,0.243,0.679,0.169
0.318,0.313,0.666,0.215
0.348,0.341,0.66,0.234
0.434,0.421,0.639,0.286
0.512,0.491,0.617,0.33
0.549,0.523,0.606,0.35
0.646,0.603,0.577,0.397
0.689,0.637,0.563,0.416
0.761,0.691,0.539,0.446
0.861,0.759,0.508,0.482
0.944,0.811,0.482,0.507
1.043,0.864,0.455,0.532
1.869,0.72,0.526,0.461
1.871,0.719,0.527,0.461
1.873,0.719,0.527,0.461
1.878,0.718,0.527,0.461
1.88,0.718,0.527,0.46
1.882,0.717,0.528,0.46
1.884,0.717,0.528,0.46
1.886,0.717,0.528,0.46
1.887,0.716,0.528,0.46
1.889,0.716,0.528,0.459
1.891,0.716,0.528,0.459
1.893,0.715,0.528,0.459
1.896,0.715,0.529,0.459
1.981,0.693,0.539,0.447
2.019,0.682,0.543,0.441
2.091,0.658,0.554,0.428
2.159,0.633,0.564,0.414
2.256,0.591,0.581,0.39
2.343,0.548,0.597,0.365
2.369,0.535,0.602,0.357
2.45,0.491,0.617,0.33
2.545,0.435,0.635,0.295
2.579,0.414,0.641,0.282
2.649,0.37,0.653,0.253
2.737,0.311,0.666,0.214
2.79,0.274,0.674,0.19
2.868,0.219,0.683,0.152
2.939,0.168,0.69,0.117
3.051,0.085,0.697,0.059
3.078,0.065,0.699,0.045
3.163,0.001,0.7,0.001
3.263,-0.073,0.698,-0.051
3.292,-0.095,0.697,-0.066
3.364,-0.148,0.692,-0.103
3.471,-0.226,0.682,-0.157
3.499,-0.246,0.679,-0.17
3.584,-0.305,0.668,-0.21
3.679,-0.369,0.653,-0.252
3.688,-0.375,0.651,-0.256
3.768,-0.425,0.638,-0.289
3.866,-0.483,0.62,-0.325
3.898,-0.502,0.614,-0.337
3.978,-0.545,0.599,-0.363
4.061,-0.586,0.583,-0.387
4.161,-0.629,0.566,-0.412
4.188,-0.64,0.561,-0.418
4.26,-0.667,0.55,-0.433
4.343,-0.693,0.539,-0.447
4.388,-0.706,0.533,-0.454
4.476,-0.725,0.524,-0.464
4.56,-0.739,0.518,-0.471
4.599,-0.744,0.515,-0.474
4.682,-0.75,0.512,-0.477
4.759,-0.751,0.512,-0.477
4.86,-0.744,0.515,-0.474
4.889,-0.742,0.516,-0.473
4.969,-0.73,0.522,-0.467
5.08,-0.705,0.533,-0.454
5.1,-0.7,0.535,-0.451
5.169,-0.681,0.544,-0.44
5.269,-0.645,0.559,-0.421
5.3,-0.633,0.564,-0.414
5.383,-0.598,0.579,-0.394
5.467,-0.558,0.594,-0.37
5.508,-0.537,0.601,-0.358
5.589,-0.493,0.617,-0.331
5.675,-0.442,0.633,-0.3
5.772,-0.381,0.65,-0.26
5.809,-0.357,0.656,-0.245
5.903,-0.294,0.67,-0.203
5.987,-0.235,0.681,-0.163
6.019,-0.212,0.684,-0.147
6.089,-0.161,0.691,-0.112
6.173,-0.099,0.697,-0.069
6.285,-0.015,0.7,-0.011
6.314,0.007,0.7,0.005
6.387,0.061,0.699,0.043
6.498,0.144,0.693,0.1
6.526,0.165,0.691,0.115
6.616,0.23,0.682,0.159
6.707,0.294,0.67,0.203
6.727,0.308,0.667,0.212
6.808,0.362,0.655,0.248
6.923,0.435,0.635,0.295
6.946,0.449,0.631,0.304
7.043,0.505,0.613,0.339
7.122,0.547,0.598,0.364
7.149,0.561,0.593,0.373
7.218,0.595,0.58,0.392
7.328,0.641,0.561,0.418
7.358,0.653,0.556,0.425
7.429,0.678,0.545,0.439
7.517,0.704,0.534,0.453
7.591,0.721,0.526,0.462
7.639,0.731,0.521,0.467
