Instante(s),Pos_ang(rad),Pos_x(m),Pos_y(m)
0.0,0.0,0.7,0.0
0.07,0.07,0.698,0.049
0.145,0.145,0.693,0.101
0.24,0.238,0.68,0.165
0.28,0.277,0.673,0.191
0.374,0.366,0.654,0.25
0.419,0.407,0.643,0.277
0.491,0.472,0.623,0.318
0.56,0.532,0.603,0.355
0.657,0.611,0.573,0.402
0.699,0.644,0.56,0.42
0.8,0.717,0.527,0.46
0.865,0.762,0.507,0.483
0.913,0.792,0.492,0.498
0.989,0.837,0.469,0.52
1.078,0.882,0.445,0.54
1.126,0.904,0.433,0.55
1.204,0.935,0.416,0.563
1.268,0.956,0.404,0.572
1.329,0.973,0.394,0.579
1.399,0.987,0.386,0.584
1.497,0.998,0.379,0.588
1.539,1.001,0.377,0.59
1.609,1.001,0.378,0.589
1.679,0.996,0.38,0.588
1.774,0.98,0.39,0.582
1.819,0.971,0.395,0.578
1.889,0.952,0.406,0.57
1.977,0.92,0.424,0.557
2.03,0.898,0.436,0.547
2.104,0.863,0.455,0.532
2.194,0.813,0.481,0.508
2.271,0.765,0.505,0.485
2.309,0.741,0.517,0.472
2.385,0.687,0.541,0.444
2.481,0.614,0.572,0.403
2.519,0.584,0.584,0.386
2.589,0.525,0.606,0.351
2.71,0.417,0.64,0.283
2.739,0.391,0.647,0.267
2.801,0.333,0.662,0.229
2.886,0.251,0.678,0.174
2.939,0.2,0.686,0.139
3.023,0.116,0.695,0.081
3.092,0.047,0.699,0.033
3.177,-0.038,0.699,-0.026
3.219,-0.08,0.698,-0.056
3.313,-0.173,0.69,-0.121
3.381,-0.24,0.68,-0.166
3.431,-0.289,0.671,-0.199
3.506,-0.36,0.655,-0.246
3.591,-0.438,0.634,-0.297
3.639,-0.481,0.621,-0.324
3.709,-0.541,0.6,-0.361
3.781,-0.6,0.578,-0.396
3.839,-0.646,0.559,-0.422
3.929,-0.712,0.53,-0.457
4.009,-0.766,0.505,-0.485
4.096,-0.819,0.478,-0.511
4.129,-0.838,0.468,-0.52
4.211,-0.88,0.446,-0.539
4.294,-0.916,0.426,-0.555
4.34,-0.935,0.416,-0.563
4.424,-0.961,0.401,-0.574
4.539,-0.985,0.387,-0.583
4.561,-0.989,0.385,-0.585
4.628,-0.997,0.38,-0.588
4.705,-1.001,0.378,-0.589
4.819,-0.992,0.383,-0.586
4.829,-0.992,0.383,-0.586
4.909,-0.979,0.391,-0.581
5.003,-0.955,0.404,-0.571
5.039,-0.945,0.41,-0.567
5.114,-0.918,0.425,-0.556
5.215,-0.872,0.45,-0.536
5.249,-0.856,0.459,-0.529
5.321,-0.817,0.479,-0.51
5.432,-0.747,0.514,-0.476
5.459,-0.729,0.522,-0.466
5.539,-0.672,0.548,-0.436
5.617,-0.613,0.573,-0.403
5.659,-0.58,0.586,-0.383
5.766,-0.489,0.618,-0.329
6.631,0.613,0.572,0.403
6.635,0.618,0.57,0.406
6.637,0.621,0.569,0.407
6.639,0.623,0.568,0.409
6.64,0.625,0.568,0.409
6.643,0.628,0.566,0.412
6.645,0.631,0.565,0.413
6.647,0.634,0.564,0.414
6.648,0.635,0.564,0.415
6.65,0.637,0.563,0.417
6.652,0.64,0.562,0.418
6.654,0.642,0.56,0.419
6.668,0.66,0.553,0.429
6.743,0.75,0.512,0.477
6.814,0.831,0.472,0.517
6.891,0.915,0.427,0.555
6.986,1.01,0.373,0.593
7.017,1.039,0.355,0.603
7.079,1.095,0.32,0.622
7.152,1.155,0.283,0.64
