Instante(s),Pos_x(m),Pos_y(m)
0.088,0,0
0.13,0.102,0.231
0.209,0.17,0.577
0.296,0.242,0.876
0.339,0.266,1.025
0.425,0.347,1.213
0.49,0.392,1.327
0.551,0.44,1.4
0.63,0.511,1.419
0.705,0.57,1.386
0.821,0.689,1.155
0.848,0.655,1.117
0.909,0.725,0.976
0.997,0.816,0.673
1.05,0.831,0.481
1.12,0.901,0.168
1.2,0.974,-0.26
1.26,1.004,-0.605
1.342,1.092,-1.16
1.407,1.127,-1.63
1.469,1.173,-2.115
1.539,1.238,-2.715
1.609,1.294,-3.364
1.718,1.433,-4.532
1.754,1.366,-4.905
1.828,1.476,-5.753
1.916,1.567,-6.849
2.004,1.639,-8.021
2.029,1.564,-8.344
2.11,1.715,-9.502
2.159,1.703,-10.21
2.23,1.796,-11.301
2.315,1.889,-12.69
2.402,1.963,-14.187
2.44,1.904,-14.837
2.538,2.095,-16.665
2.606,2.093,-17.958
2.66,2.108,-19.007
