Instante(s),Pos_x(m),Pos_y(m)
0.0,0,0
0.088,0.066,0.557
0.13,0.098,0.806
0.209,0.157,1.213
0.296,0.223,1.587
0.339,0.255,1.753
0.425,0.32,2.014
0.49,0.368,2.169
0.551,0.414,2.279
0.63,0.474,2.359
0.705,0.53,2.381
0.821,0.617,2.282
0.848,0.638,2.252
0.909,0.683,2.147
0.997,0.75,1.92
1.05,0.789,1.756
1.12,0.842,1.491
1.2,0.902,1.125
1.26,0.947,0.816
1.342,1.009,0.327
1.407,1.058,-0.102
1.469,1.105,-0.549
1.539,1.157,-1.102
1.609,1.21,-1.702
1.718,1.292,-2.754
1.754,1.319,-3.114
1.828,1.374,-3.908
1.916,1.441,-4.928
2.004,1.507,-6.024
2.029,1.526,-6.342
2.11,1.586,-7.435
2.159,1.623,-8.119
2.23,1.677,-9.161
2.315,1.741,-10.479
2.402,1.806,-11.902
2.44,1.835,-12.538
2.538,1.908,-14.272
2.606,1.959,-15.52
2.66,2.0,-16.54
