id,number of iterations,initial_pop,final_pop,initial_density,final_density,end_status, elapsed time
1,0,0,0,0.000000,0.000000,didn't change, 0.000751, 0.000751
2,1,1,0,1.000000,0.000000,empty, 0.001800, 0.001800
3,0,1,1,1.000000,1.000000,didn't change, 0.001322, 0.001322
4,1,2,0,1.000000,0.000000,empty, 0.016973, 0.016973
5,0,1,1,1.000000,1.000000,didn't change, 0.001446, 0.001446
6,1,2,0,1.000000,0.000000,empty, 0.000693, 0.000693
7,1,2,0,0.500000,0.000000,empty, 0.000841, 0.000841
8,2,3,4,0.750000,1.000000,stable, 0.001083, 0.001083
9,1,1,0,1.000000,0.000000,empty, 0.001497, 0.001497
10,1,2,0,0.500000,0.000000,empty, 0.001772, 0.001772
11,1,2,0,1.000000,0.000000,empty, 0.001642, 0.001642
12,2,3,4,0.750000,1.000000,stable, 0.001330, 0.001330
13,1,2,0,1.000000,0.000000,empty, 0.001022, 0.001022
14,2,3,4,0.750000,1.000000,stable, 0.001363, 0.001363
15,1,3,4,0.750000,1.000000,oscillation (period = 0), 0.000887, 0.000887
16,0,4,4,1.000000,1.000000,didn't change, 0.000598, 0.000598
