id,number of iterations,initial_pop,final_pop,initial_density,final_density,end_status, elapsed_time
1,0,0,0,0.000000,0.000000,didn't change,0.000662
2,1,1,0,1.000000,0.000000,empty,0.001414
3,0,1,1,1.000000,1.000000,didn't change,0.001329
4,1,2,0,1.000000,0.000000,empty,0.001063
5,0,1,1,1.000000,1.000000,didn't change,0.000892
6,1,2,0,0.666667,0.000000,empty,0.001003
7,1,2,0,1.000000,0.000000,empty,0.001257
8,2,3,3,1.000000,1.000000,oscillation (period = 2),0.001010
9,1,1,0,1.000000,0.000000,empty,0.001022
10,1,2,0,1.000000,0.000000,empty,0.000938
11,1,2,0,0.500000,0.000000,empty,0.001195
12,2,3,4,0.750000,1.000000,stable,0.002155
13,1,2,0,0.333333,0.000000,empty,0.001247
14,2,3,0,0.500000,0.000000,empty,0.002439
15,2,3,0,0.500000,0.000000,empty,0.002020
16,4,4,6,0.666667,0.500000,stable,0.001689
17,1,1,0,1.000000,0.000000,empty,0.001177
18,1,2,0,0.500000,0.000000,empty,0.001076
19,1,2,0,1.000000,0.000000,empty,0.001093
20,2,3,4,0.750000,1.000000,stable,0.002843
21,1,2,0,0.500000,0.000000,empty,0.001273
22,2,3,0,0.500000,0.000000,empty,0.003081
23,2,3,4,0.750000,1.000000,stable,0.001439
24,11,4,12,0.666667,0.244898,oscillation (period = 2),0.002015
25,1,2,0,1.000000,0.000000,empty,0.002132
26,2,3,4,0.750000,1.000000,stable,0.001093
27,1,3,4,0.750000,1.000000,oscillation (period = 0),0.001090
28,0,4,4,1.000000,1.000000,didn't change,0.000590
29,2,3,0,0.500000,0.000000,empty,0.002264
30,3,4,4,0.666667,1.000000,stable,0.001106
31,3,4,6,0.666667,0.500000,stable,0.001514
32,4,5,0,0.833333,0.000000,empty,0.001105
33,1,1,0,1.000000,0.000000,empty,0.000733
34,1,2,0,0.333333,0.000000,empty,0.001574
35,1,2,0,0.500000,0.000000,empty,0.000777
36,2,3,0,0.500000,0.000000,empty,0.002245
37,0,2,2,1.000000,1.000000,didn't change,0.001282
38,1,3,2,0.500000,1.000000,oscillation (period = 0),0.001514
39,2,3,4,0.750000,1.000000,stable,0.002141
40,4,4,6,0.666667,0.500000,stable,0.001123
41,1,2,0,0.666667,0.000000,empty,0.000643
42,2,3,0,0.500000,0.000000,empty,0.001832
43,0,3,3,0.500000,0.500000,didn't change,0.001234
44,3,4,4,0.666667,1.000000,stable,0.001222
