id,number_of_iterations,initial_pop,final_pop,initial_density,final_density,end_status,elapsed_time
1,0,0,0,0.000000,0.000000,empty,0.000006
2,1,1,0,1.000000,0.000000,empty,0.000348
3,1,1,0,1.000000,0.000000,empty,0.000255
4,1,2,0,1.000000,0.000000,empty,0.000187
5,1,1,0,1.000000,0.000000,empty,0.000276
6,1,2,0,0.666667,0.000000,empty,0.000335
7,1,2,0,1.000000,0.000000,empty,0.000417
8,2,3,3,1.000000,1.000000,period_2,0.000346
9,1,1,0,1.000000,0.000000,empty,0.000462
10,1,2,0,0.500000,0.000000,empty,0.000303
11,1,2,0,0.666667,0.000000,empty,0.000219
12,1,3,0,0.750000,0.000000,empty,0.000438
13,1,2,0,1.000000,0.000000,empty,0.000418
14,1,3,0,0.750000,0.000000,empty,0.000436
15,2,3,3,1.000000,1.000000,period_2,0.000258
16,3,4,6,1.000000,0.500000,stable,0.000273
17,1,1,0,1.000000,0.000000,empty,0.000276
18,1,2,0,1.000000,0.000000,empty,0.000204
19,1,2,0,0.500000,0.000000,empty,0.000179
20,2,3,4,0.750000,1.000000,stable,0.000270
21,1,2,0,0.333333,0.000000,empty,0.000194
22,2,3,0,0.500000,0.000000,empty,0.000229
23,2,3,0,0.500000,0.000000,empty,0.000189
24,4,4,6,0.666667,0.500000,stable,0.000675
25,1,2,0,0.250000,0.000000,empty,0.000283
26,1,3,0,0.375000,0.000000,empty,0.000384
27,1,3,0,0.375000,0.000000,empty,0.000183
28,2,4,4,0.500000,1.000000,stable,0.000379
29,1,3,0,0.375000,0.000000,empty,0.000397
30,2,4,0,0.500000,0.000000,empty,0.000371
31,5,4,0,0.500000,0.000000,empty,0.000357
32,11,5,12,0.625000,0.244898,period_2,0.001107
33,1,1,0,1.000000,0.000000,empty,0.000382
34,1,2,0,0.500000,0.000000,empty,0.000229
35,1,2,0,1.000000,0.000000,empty,0.000245
36,2,3,4,0.750000,1.000000,stable,0.000213
37,1,2,0,0.500000,0.000000,empty,0.000237
38,2,3,0,0.500000,0.000000,empty,0.000503
39,2,3,4,0.750000,1.000000,stable,0.000303
40,11,4,12,0.666667,0.244898,period_2,0.000580
41,1,2,0,0.333333,0.000000,empty,0.000214
42,1,3,0,0.375000,0.000000,empty,0.000390
43,2,3,0,0.500000,0.000000,empty,0.000309
44,3,4,6,0.500000,0.500000,stable,0.000489
45,2,3,0,0.500000,0.000000,empty,0.000221
46,2,4,4,0.500000,1.000000,stable,0.000545
47,4,4,6,0.666667,0.500000,stable,0.000327
48,3,5,0,0.625000,0.000000,empty,0.000211
49,1,2,0,1.000000,0.000000,empty,0.000198
50,2,3,4,0.750000,1.000000,stable,0.000235
51,2,3,4,0.750000,1.000000,stable,0.000400
52,1,4,4,1.000000,1.000000,stable,0.000442
53,2,3,0,0.500000,0.000000,empty,0.000373
54,3,4,4,0.666667,1.000000,stable,0.000290
55,3,4,6,0.666667,0.500000,stable,0.000341
56,4,5,0,0.833333,0.000000,empty,0.000303
57,1,3,0,0.375000,0.000000,empty,0.000226
58,2,4,4,0.500000,1.000000,stable,0.000410
59,3,4,6,0.500000,0.500000,stable,0.000312
60,3,5,6,0.625000,0.500000,stable,0.000237
61,2,4,4,0.500000,1.000000,stable,0.000441
62,5,5,0,0.625000,0.000000,empty,0.000255
63,5,5,0,0.625000,0.000000,empty,0.000244
64,3,6,5,0.750000,0.555556,stable,0.000284
65,1,1,0,1.000000,0.000000,empty,0.000163
66,1,2,0,0.333333,0.000000,empty,0.000170
67,1,2,0,0.500000,0.000000,empty,0.000179
68,2,3,0,0.500000,0.000000,empty,0.000223
69,1,2,0,1.000000,0.000000,empty,0.000230
70,2,3,0,0.500000,0.000000,empty,0.000211
71,2,3,4,0.750000,1.000000,stable,0.000215
72,4,4,6,0.666667,0.500000,stable,0.000250
73,1,2,0,0.500000,0.000000,empty,0.000241
74,1,3,0,0.375000,0.000000,empty,0.000233
75,2,3,0,0.500000,0.000000,empty,0.000191
76,2,4,4,0.500000,1.000000,stable,0.000247
77,2,3,4,0.750000,1.000000,stable,0.000248
78,3,4,6,0.500000,0.500000,stable,0.000330
79,11,4,12,0.666667,0.244898,period_2,0.000487
80,3,5,0,0.625000,0.000000,empty,0.000211
81,1,2,0,0.666667,0.000000,empty,0.000183
82,2,3,0,0.500000,0.000000,empty,0.000224
83,2,3,0,0.500000,0.000000,empty,0.000216
84,3,4,4,0.666667,1.000000,stable,0.000272
85,2,3,0,0.500000,0.000000,empty,0.000215
86,1,4,0,0.666667,0.000000,empty,0.000175
87,3,4,4,0.666667,1.000000,stable,0.000267
88,4,5,0,0.833333,0.000000,empty,0.000265
89,1,3,0,0.375000,0.000000,empty,0.000189
90,2,4,0,0.500000,0.000000,empty,0.000229
91,2,4,4,0.500000,1.000000,stable,0.000207
92,5,5,0,0.625000,0.000000,empty,0.000291
93,3,4,6,0.500000,0.500000,stable,0.000242
94,2,5,4,0.625000,1.000000,stable,0.000251
95,5,5,8,0.625000,0.500000,stable,0.000358
96,5,6,4,0.750000,1.000000,stable,0.000270
97,1,2,0,1.000000,0.000000,empty,0.000172
